game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100486,2021-22 Regular Season,2022-01-10,Nic Claxton,Kyrie Irving,Kevin Durant,DeAndre' Bembry,David Duke Jr.,Jusuf Nurkic,Anfernee Simons,Ben McLemore,Robert Covington,Nassir Little,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100486,2021-22 Regular Season,2022-01-10,Nic Claxton,Kyrie Irving,Kevin Durant,DeAndre' Bembry,David Duke Jr.,Jusuf Nurkic,Anfernee Simons,Ben McLemore,Robert Covington,Nassir Little,1,0,0,0:12:00,0:00:00,0:00:00,2,POR,jump ball,,Nic Claxton,Jusuf Nurkic,,,,,,,Jusuf Nurkic,,Anfernee Simons,,,,jump ball,,,,,,Jump Ball Nurkic vs. Claxton: Tip to Simons
22100486,2021-22 Regular Season,2022-01-10,Nic Claxton,Kyrie Irving,Kevin Durant,DeAndre' Bembry,David Duke Jr.,Jusuf Nurkic,Anfernee Simons,Ben McLemore,Robert Covington,Nassir Little,1,0,0,0:11:42,0:00:18,0:00:18,3,POR,shot,,,,,,,,,,Jusuf Nurkic,0,,,missed,,hook shot,8,-48,67,20.2,82.3,MISS Nurkic 8' Driving Hook Shot
22100486,2021-22 Regular Season,2022-01-10,Nic Claxton,Kyrie Irving,Kevin Durant,DeAndre' Bembry,David Duke Jr.,Jusuf Nurkic,Anfernee Simons,Ben McLemore,Robert Covington,Nassir Little,1,0,0,0:11:39,0:00:21,0:00:03,4,BKN,rebound,,,,,,,,,,Kyrie Irving,,,,,,rebound defensive,,,,,,Irving REBOUND (Off:0 Def:1)
22100486,2021-22 Regular Season,2022-01-10,Nic Claxton,Kyrie Irving,Kevin Durant,DeAndre' Bembry,David Duke Jr.,Jusuf Nurkic,Anfernee Simons,Ben McLemore,Robert Covington,Nassir Little,1,0,0,0:11:18,0:00:42,0:00:21,5,BKN,turnover,,,,,,,,,,Kyrie Irving,,,bad pass,,Ben McLemore,bad pass,,,,,,McLemore STEAL (1 STL): Irving Bad Pass Turnover (P1.T1)
22100486,2021-22 Regular Season,2022-01-10,Nic Claxton,Kyrie Irving,Kevin Durant,DeAndre' Bembry,David Duke Jr.,Jusuf Nurkic,Anfernee Simons,Ben McLemore,Robert Covington,Nassir Little,1,0,0,0:11:07,0:00:53,0:00:11,6,BKN,foul,,,,,,,,Jusuf Nurkic,,Nic Claxton,,,s.foul,,,shooting,,,,,,Claxton S.FOUL (P1.T1) (P.Ransom)
22100486,2021-22 Regular Season,2022-01-10,Nic Claxton,Kyrie Irving,Kevin Durant,DeAndre' Bembry,David Duke Jr.,Jusuf Nurkic,Anfernee Simons,Ben McLemore,Robert Covington,Nassir Little,1,0,0,0:11:07,0:00:53,0:00:00,7,POR,free throw,,,,,,,1,,2,Jusuf Nurkic,0,,,missed,,free throw 1/2,,,,,,MISS Nurkic Free Throw 1 of 2
22100486,2021-22 Regular Season,2022-01-10,Nic Claxton,Kyrie Irving,Kevin Durant,DeAndre' Bembry,David Duke Jr.,Jusuf Nurkic,Anfernee Simons,Ben McLemore,Robert Covington,Nassir Little,1,0,0,0:11:07,0:00:53,0:00:00,8,POR,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,TRAIL BLAZERS Rebound
22100486,2021-22 Regular Season,2022-01-10,Nic Claxton,Kyrie Irving,Kevin Durant,DeAndre' Bembry,David Duke Jr.,Jusuf Nurkic,Anfernee Simons,Ben McLemore,Robert Covington,Nassir Little,1,0,1,0:11:07,0:00:53,0:00:00,9,POR,free throw,,,,,,,2,,2,Jusuf Nurkic,1,,,made,,free throw 2/2,,,,,,Nurkic Free Throw 2 of 2 (1 PTS)
22100486,2021-22 Regular Season,2022-01-10,Nic Claxton,Kyrie Irving,Kevin Durant,DeAndre' Bembry,David Duke Jr.,Jusuf Nurkic,Anfernee Simons,Ben McLemore,Robert Covington,Nassir Little,1,2,1,0:10:50,0:01:10,0:00:17,10,BKN,shot,,,,,,,,,,Kevin Durant,2,,,made,,fadeaway jumper,8,51,64,19.9,11.4,Durant 8' Fadeaway Jumper (2 PTS)
22100486,2021-22 Regular Season,2022-01-10,Nic Claxton,Kyrie Irving,Kevin Durant,DeAndre' Bembry,David Duke Jr.,Jusuf Nurkic,Anfernee Simons,Ben McLemore,Robert Covington,Nassir Little,1,2,4,0:10:35,0:01:25,0:00:15,11,POR,shot,Jusuf Nurkic,,,,,,,,,Ben McLemore,3,,,made,,3pt jump shot,28,107,256,35.7,63.4,McLemore 28' 3PT Jump Shot (3 PTS) (Nurkic 1 AST)
22100486,2021-22 Regular Season,2022-01-10,Nic Claxton,Kyrie Irving,Kevin Durant,DeAndre' Bembry,David Duke Jr.,Jusuf Nurkic,Anfernee Simons,Ben McLemore,Robert Covington,Nassir Little,1,5,4,0:10:24,0:01:36,0:00:11,12,BKN,shot,,,,,,,,,,Kyrie Irving,3,,,made,,3pt pullup jump shot,27,148,226,10.2,27.6,Irving 27' 3PT Pullup Jump Shot (3 PTS)
22100486,2021-22 Regular Season,2022-01-10,Nic Claxton,Kyrie Irving,Kevin Durant,DeAndre' Bembry,David Duke Jr.,Jusuf Nurkic,Anfernee Simons,Ben McLemore,Robert Covington,Nassir Little,1,5,4,0:10:10,0:01:50,0:00:14,13,POR,turnover,,,,,,,,,,Jusuf Nurkic,,,bad pass,,DeAndre' Bembry,bad pass,,,,,,Nurkic Bad Pass Turnover (P1.T1): Bembry STEAL (1 STL)
22100486,2021-22 Regular Season,2022-01-10,Nic Claxton,Kyrie Irving,Kevin Durant,DeAndre' Bembry,David Duke Jr.,Jusuf Nurkic,Anfernee Simons,Ben McLemore,Robert Covington,Nassir Little,1,5,4,0:10:03,0:01:57,0:00:07,14,BKN,shot,,,,,,,,,,David Duke Jr.,0,,,missed,,layup,1,-7,0,25.7,5.0,MISS Duke Jr. 1' Running Finger Roll Layup
22100486,2021-22 Regular Season,2022-01-10,Nic Claxton,Kyrie Irving,Kevin Durant,DeAndre' Bembry,David Duke Jr.,Jusuf Nurkic,Anfernee Simons,Ben McLemore,Robert Covington,Nassir Little,1,5,4,0:10:02,0:01:58,0:00:01,15,POR,rebound,,,,,,,,,,Robert Covington,,,,,,rebound defensive,,,,,,Covington REBOUND (Off:0 Def:1)
22100486,2021-22 Regular Season,2022-01-10,Nic Claxton,Kyrie Irving,Kevin Durant,DeAndre' Bembry,David Duke Jr.,Jusuf Nurkic,Anfernee Simons,Ben McLemore,Robert Covington,Nassir Little,1,5,4,0:09:47,0:02:13,0:00:15,16,POR,shot,,,,,,,,,,Jusuf Nurkic,0,,,missed,,hook shot,4,-15,33,23.5,85.7,MISS Nurkic 4' Driving Hook Shot
22100486,2021-22 Regular Season,2022-01-10,Nic Claxton,Kyrie Irving,Kevin Durant,DeAndre' Bembry,David Duke Jr.,Jusuf Nurkic,Anfernee Simons,Ben McLemore,Robert Covington,Nassir Little,1,5,4,0:09:46,0:02:14,0:00:01,17,POR,rebound,,,,,,,,,,Jusuf Nurkic,,,,,,rebound offensive,,,,,,Nurkic REBOUND (Off:1 Def:0)
22100486,2021-22 Regular Season,2022-01-10,Nic Claxton,Kyrie Irving,Kevin Durant,DeAndre' Bembry,David Duke Jr.,Jusuf Nurkic,Anfernee Simons,Ben McLemore,Robert Covington,Nassir Little,1,5,4,0:09:46,0:02:14,0:00:00,18,BKN,foul,,,,,,,,Jusuf Nurkic,,Nic Claxton,,,s.foul,,,shooting,,,,,,Claxton S.FOUL (P2.T2) (T.Brothers)
22100486,2021-22 Regular Season,2022-01-10,Nic Claxton,Kyrie Irving,Kevin Durant,DeAndre' Bembry,David Duke Jr.,Jusuf Nurkic,Anfernee Simons,Ben McLemore,Robert Covington,Nassir Little,1,5,5,0:09:46,0:02:14,0:00:00,19,POR,free throw,,,,,,,1,,2,Jusuf Nurkic,1,,,made,,free throw 1/2,,,,,,Nurkic Free Throw 1 of 2 (2 PTS)
