question,body,A,B,C,D,E,year,question_number,test,answer,language,answer_order
QUESTION 46,"Empedocles establishes four bodily elements - fire, air, water and earth - which are eternal and change by increasing and decreasing through mixing and separation; but the principles themselves, by which they are moved, are Love and Hate. For it is necessary that the elements remain alternately in motion, being sometimes mixed by Love and sometimes separated by Hate. The text proposes a reflection on Empedocles' understanding of the arché, a typical concern of pre-Socratic thought, because",evokes the cosmogonic discussion.,exalts philosophical inquiry.,underlies human passions.,corresponds to the mythological explanation.,transcends the sensible world.,2022,46,CH,A,english,"['C', 'A', 'D', 'E', 'B']"
QUESTION 47,"Urban macrocephaly can be understood as the massive concentration of economic activities in a few metropolises, which triggers uncoordinated processes: redirection and convergence of migratory flows, a deficit in the number of jobs, disorderly occupation of certain regions of the city and stigmatization of social strata, all of which substantially compromise urban public safety. Which geographical factor stimulated the process of spatial concentration?",Exodus of the rural population.,Increased housing risk.,Deficiency of alternative transportation.,Limitation of the area occupied.,Fertility rate growth.,2022,47,CH,A,english,"['B', 'C', 'D', 'A', 'E']"
QUESTION 48,"However, our friend Basso has a cheerful spirit. This is the result of philosophy: to be joyful in the face of death, strong and content whatever the state of the body, without fainting, even if you faint. The excerpt refers to a letter by Seneca in which it is presented as a fundamental good of philosophy to promote the",rejection of social conventions.,inspiration of a religious nature.,valuing dialogical disputes.,moderation of the passions.,exaltation of suffering.,2022,48,CH,D,english,"['B', 'C', 'A', 'E', 'D']"
QUESTION 49,"When the Spanish arrived in America, the theocratic empire of the Incas was at its height, extending its power over what we now call Peru, Bolivia and Ecuador, encompassing part of Colombia and Chile and reaching as far as northern Argentina and the Brazilian jungle; the confederation of the Aztecs had achieved a high level of efficiency in the valley of Mexico, and in the Yucatán, in Central America, the splendid civilization of the Maya persisted in the heir peoples, organized for work and war. The Mayans had been great astronomers, measuring time and space with astonishing precision, and had discovered the value of the number zero before any people in history. In the museum in Lima, you can see hundreds of skulls that were given gold and silver plates by the Inca surgeons. The aforementioned societies left behind a diversity of",war materials looted in colonial battles.,labor customs modeled on foreign styles.,cultural heritage made up of their own knowledge.,medicinal practices based on scientific knowledge.,religious goods inspired by the Christian matrix.,2022,49,CH,C,english,"['B', 'D', 'C', 'E', 'A']"
QUESTION 50,"In Vitória (ES), in the Goiabeiras neighborhood, we find the paneleiras, women who are known for their knowledge of traditional clay pots, icons of Espírito Santo cuisine. The tradition passed down from mother to daughter is of indigenous origin and has been influenced by other ethnic groups, such as Afro and Luso. From this mixture, it is believed that the manufacture of clay pots is already 400 years old. The manufacture of clay pots takes place in several stages, from obtaining the raw materials to making the pots. The raw materials traditionally used come from the natural environment, such as: clay, taken from the clay pit in the Mulembá Valley; wood, currently from construction waste; and paint, extracted from the bark of the mangrove, the popular red mangrove. A characteristic of traditional practices such as the one exemplified in the text is the link between the resources of the natural world and the",updating the management model.,conservation of the plantations.,specialization in the production stages.,maintaining ways of life.,participation in consumer society.,2022,50,CH,D,english,"['C', 'B', 'E', 'A', 'D']"
QUESTION 51,"Image description: Map entitled Igneous rocks of the Legal Amazon highlights the Legal Amazon on a cut-out map of Brazil and shows areas where igneous rocks occur in several states, with the highest incidence in Pará. The map spatializes a natural resource with high potential for occurrence:",Periodic seismic abalos.,Metamorphic geological structures.,Deep sedimentary aquifers.,Fossil fuel reserves.,Metallic mineral deposits.,2022,51,CH,E,english,"['A', 'E', 'D', 'C', 'B']"
QUESTION 52,"Born in Lebanon, the two sisters could not be registered in the country, because it is required that children born in Lebanon be born to Lebanese fathers and mothers. Their parents, of Syrian nationality, were also unable to register them in their country of origin. In Syria, children are only registered by officially married parents, which was not their case. In situations like the one presented in the text, when people are born they are already in the socio-political condition of",stateless.,refugees.,exiled.,fugitives.,clandestine.,2022,52,CH,A,english,"['B', 'D', 'A', 'C', 'E']"
QUESTION 53,"TEXT 1 A philosophy of perception that wants to relearn how to see the world will restore painting and the arts in general to their true place.  TEXT 2 The great film authors seemed to us to be confrontable not only with painters, architects and musicians, but also with thinkers. They think with images rather than concepts. How do the texts support the existence of knowledge anchored in sensibility?",Pointing to forms of expression as aids to reason.,Establishing intelligence as the implication of representations.,Considering the gaze as an experience of knowledge.,Reaffirming aesthetic experience as a judgment of taste.,Admitting beauty as a transcendental phenomenon.,2022,53,CH,C,english,"['D', 'E', 'C', 'B', 'A']"
QUESTION 54,"TEXT 1 The Holy Office of the Inquisition orders that no one, whatever their state, age or condition, shall stop with a cart, trousers or mount, nor disturb with tables or chairs the center of the streets that go from the Inquisition to São Domingos, nor cross the procession at any point on the way to or from tomorrow, the 19th of this month, when the auto de fé will be celebrated. Neither on that day nor on the day of the floggings should anyone dare to throw apples, stones, oranges or anything else at the defendants. TEXT 2 As with all rites, the meaning of the auto da fé is given by the sequence of acts that make it up. The places, the postures, the gestures and the words are fixed in advance in all their complexity. For this reason, the auto da fé has strong moments - during the preparation, the staging, the act and the reception - which should be followed in detail. The rite mentioned in the texts demonstrates the Church's ability to",produce standards of conduct.,criticize discipline policies.,to encourage a desire for violence.,order heresy cults.,softening punishment ceremonies.,2022,54,CH,A,english,"['D', 'C', 'B', 'E', 'A']"
QUESTION 55,"Image description: Map titled Possible path of Malaysia Airlines flight MH370 before it crashed in 2014, shows the flight's trajectory lines from Malaysia to the last contact and from that point to where the wreckage was spotted in the Indian Ocean. The distance from this wreckage site to the city of Perth in Australia is represented on a straight line at 2,500 kilometers.  Considering that the distance between where the plane wreckage was spotted and the city of Perth is 2 centimeters, the approximate scale of this cartographic representation is:",1 para 125 000.,1 para 125 000 000.,1 para 12 500 000.,1 for 12 500.,1 para 1 250 000.,2022,55,CH,B,english,"['B', 'E', 'D', 'A', 'C']"
