question,body,A,B,C,D,E,year,question_number,test,answer,language,answer_order
 QUESTÃO 1,"Becoming

Back in the ancestral homeland of Michelle Obama,
black women were rarely granted the honorific Miss or
Mrs., but were addressed by their first name, or simply
as “gal” or “auntie” or worse. This so openly demeaned
them that many black women, long after they had left the
South, refused to answer if called by their first name. A
mother and father in 1970s Texas named their newborn
“Miss” so that white people would have no choice but to
address their daughter by that title. Black women were
meant for the field or the kitchen, or for use as they saw
fit. They were, by definition, not ladies. The very idea of
a black woman as first lady of the land, well, that would
have been unthinkable.

A crítica do livro de memórias de Michelle Obama,
ex-primeira-dama dos EUA, aborda a história das relações
humanas na cidade natal da autora. Nesse contexto, o uso
do vocábulo “unthinkable” ressalta que",comportamento parental era irresponsável.,ascensão social era improvável.,mudança de nome era impensável.,origem do indivíduo era irrelevante.,trabalho feminino era inimaginável.,2021,1,LC,B,english,"['E', 'A', 'B', 'C', 'D']"
QUESTÃO 2,"Descrição da imagem: Cartum que mostra um homem
e uma mulher caminhando por uma calçada. Abaixo da
imagem, o seguinte texto dito pela mulher: “My desire
to be well-informed is currently at odds with my desire
to remain sane.”

A presença de “at odds with” na fala da personagem do
cartum revela o(a)",desafio de permanecer imparcial.,desejo de dominar novas tecnologias,vontade de ler notícias positivas.,dificuldade de conciliar diferentes anseios.,necessidade de acessar informações confiáveis.,2021,2,LC,D,english,"['D', 'C', 'E', 'B', 'A']"
QUESTÃO 3,"Exterior: Between The Museums - Day

CELINE

Americans always think Europe is perfect. But such
beauty and history can be really oppressive. It reduces the
individual to nothing. It just reminds you all the time you
are just a little speck in a long history, where in America
you feel like you could be making history. That's why I like
Los Angeles because it is so...

JESSE

Ugly?

CELINE

No, I was going to say “neutral”. It's like looking at a
blank canvas. I think people go to places like Venice on
their honeymoon to make sure they are not going to fight
for the first two weeks of their marriage because they'll
be too busy looking around at all the beautiful things.
That's what people call a romantic place — somewhere
where the prettiness will contain your primary violent
instinct. A real good honeymoon spot would be like
somewhere in New Jersey.

Considerando-se o olhar dos personagens, esse trecho
do roteiro de um filme permite reconhecer que a avaliação
sobre um lugar depende do(a)",perspectiva do visitante.,finalidade da viagem do visitante.,contexto histórico do local.,beleza do próprio local.,tempo de permanência no local.,2021,3,LC,A,english,"['B', 'E', 'C', 'A', 'D']"
QUESTÃO 4,"We are now a nation obsessed with the cult of
celebrity. Celebrities have replaced the classic notion
of the hero. But instead of being respected for talent,
courage or intelligence, itis money, style and image the
deciding factors in what commands respect. Image is
everything. Their image is painstakingly constructed by
a multitude of different image consultants to carve out
the most profitable celebrity they can. Then society is
right behind them, believing in everything that celebrity
believes in. Companies know that people will buy a
product if a celebrity has it too. It is as if the person
buying the product feels that they now have some
kind of connection with the celebrity and that some of
their perceived happiness will now be passed onto the
consumer. So to look at it one way, the cult of celebrity
is really nothing more than a sophisticated marketing
scheme. Celebrities though cannot be blamed for all
negative aspects of society. In reality society is to
blame. We are the people who seemed to have lost
the ability to think for ourselves. I suppose it's easier to
be told what to think, rather than challenging what we
are told. The reason we are swamped by celebrity is
because there is a demand for it.

O texto, que aborda questões referentes ao tema do culto
à celebridade, tem o objetivo de",destacar os méritos das celebridades.,ressaltar a necessidade de reflexão dos fãs.,criticar o consumismo das celebridades.,culpar as celebridades pela obsessão dos fãs.,valorizar o marketing pessoal das celebridades.,2021,4,LC,B,english,"['A', 'C', 'B', 'D', 'E']"
QUESTÃO 5,"The British (serves 60 million)
Benjamin Zephaniah

Take some Picts, Celts and Silures
And let them settle,
Then overrun them with Roman conquerors.
Remove the Romans after approximately 400 years
Add lots of Norman French to some
Angles, Saxons, Jutes and Vikings, then stir vigorously.
[...]
Sprinkle some fresh Indians, Malaysians, Bosnians,
Iraqis and Bangladeshis together with some
Afghans, Spanish, Turkish, Kurdish, Japanese
And Palestinians
Then add to the melting pot.
Leave the ingredients to simmer.
As they mix and blend allow their languages to flourish
Binding them together with English.
Allow time to be cool.
Add some unity, understanding, and respect for the future,
Serve with justice
And enjoy.

Note: All the ingredients are equally important. Treating
one ingredient better than another will leave a bitter
unpleasant taste.

Warning: An unequal spread of justice will damage the
people and cause pain. Give justice and equality to all.

Ao descrever o processo de formação da Inglaterra, o
autor do poema recorre a características de outro gênero
textual para evidenciar",um impacto de natureza histórica.,um legado de origem geográfica.,a questão da intolerância linguística.,um problema de estratificação social.,riqueza da mistura cultural.,2021,5,LC,E,english,"['C', 'B', 'E', 'D', 'A']"
QUESTÃO 1,"Hoy, en cuestión de segundos uno es capaz de conocer
la vida de un individuo o las actividades que lleva a cabo
sin necesidad de contacto personal; las RRSS tienen la
poderosa virtud de convocar concentraciones de gentes con
idearios comunes y generar movimientos como la Primavera
Árabe, por ejemplo.

Bajo ese parámetro, cualquier incidente puede ser
inmediatamente reportado por grabación o filmación, por
lo que a los aparatos celulares, más allá de su utilidad en
términos de conversación, habria que calificarlos como “la
guillotina del siglo 21”.

Así es. Son éstos los que han pasado a convertirse en
artefactos con cuyo uso se han develado conversaciones,
acuerdos, negociados, chantajes y un sin fin de hechos
que han dado curso a procesos de naturaleza legal e
investigativa que han tumbado gobiernos, empresas,
empresarios, políticos y que, incluso, ha servido en un caso
reciente, para que un inocente recupere su libertad tras
cuatro años de injusto encierro.

O texto trata da evolução inerente às funcionalidades de
recursos tecnológicos. A expressão “la guillotina del siglo
21” destaca que os celulares de hoje podem",assumir utilidade jurídica.,oferecer recursos com funções múltiplas.,divulgar informação instantânea.,reunir usuários com ideias semelhantes.,organizar movimentos sociais.,2021,1,LC,A,spanish,"['E', 'A', 'C', 'B', 'D']"
QUESTÃO 2,"Jorge Luis Borges

En el suelo, apoyado en el mostrador, se acurrucaba,
inmóvil como una cosa, un hombre muy viejo. Los
muchos afios lo habían reducido y pulido como las aguas
a una piedra o las generaciones de los hombres a una
sentencia. Era oscuro, chico y reseco, y estaba como
fuera del tiempo, en una eternidad.

No âmbito literário, são mobilizados diferentes recursos
que visam à expressividade. No texto, a analogia
estabelecida pela expressão “como las aguas a una
piedra” tem a função de",enfatizar a ação do tempo sobre a personagem.,caracterizar o espaço do conto.,descrever a objetificação do ambiente.,narrar a perenidade da velhice.,expor a anacronia da personagem.,2021,2,LC,A,spanish,"['A', 'D', 'B', 'E', 'C']"
QUESTÃO 3,"Descrição da imagem:

Charge que mostra dois homens apoiados no
balcão de um bar. Fixado à parede, há um aparelho
de televisão de onde saem as seguintes palavras:
“guerra, crisis, inseguridad, miseria, violencia, lujo
obsceno.”

Um dos homens, usando camisa e gravata, segurando
uma bebida, exclama: “¡Por Dios! ; Qué le ha pasado
al mundo? O outro, vestindo terno e gravata, com um
jornal aberto entre as mãos, responde: “Nosotros”.

A charge evoca uma situação de assombro frente a uma
realidade que assola as sociedades contemporâneas.
Seu efeito humorístico reside na crítica diante do(a)
constatação do ser humano como o responsável pela
condição caótica do mundo.",manipulação das notícias difundidas pelas mídias.,apelo à religiosidade diante das dificuldades,veiculação de informações trágicas pelos telejornais.,enfrentadas pela humanidade.,"indignação dos trabalhadores em face das injustiças
sociais.",2021,3,LC,B,spanish,"['E', 'A', 'D', 'B', 'C']"
QUESTÃO 4,"Se reunieron en un volumen todas las entrevistas
dadas por el poeta y dramaturgo Federico Garcia Lorca.
Lorca concedió 133 entrevistas; leyéndolas se sabrá
qué estaba por detrás de la poética del escritor andaluz.
Sobre su obra declaró en una de ellas: “No he sido nunca
poeta de minoria. He tratado de poner en mis poemas
lo de todos los tiempos, lo permanente, lo humano.
A mí me ataca lo humano, es el elemento fundamental en
toda obra de arte”. Y en otra dijo: “Hoy no interesa más
que una problemática: lo social. La obra que no siga esa
dirección está condenada al fracaso, aunque sea muy
buena”. En su última entrevista, de junio de 1936, Lorca
se muestra profético: “Ni el poeta ni nadie tiene la clave y
el secreto del mundo. Quiero ser bueno. Sé que la poesia
eleva y creo firmemente que si hay un más allá tendré la
agradable sorpresa de encontrarme con él. Pero el dolor
del hombre y la injusticia constante que mana del mundo,
y mi propio cuerpo y mi propio pensamiento, me evitan
trasladar mi casa a las estrellas”.

Esse trecho da resenha de um livro de entrevistas
concedidas por Federico Garcia Lorca tem por finalidade","criticar o interesse do entrevistado por particularidades
da vida humana.","mostrar a atualidade das obras poéticas e teatrais do
entrevistado.","ressaltar a atração do entrevistado por questões
místicas.","salientar o compromisso do entrevistado com as
questões sociais.","divulgar a comoção das elites com as obras do
entrevistado.",2021,4,LC,D,spanish,"['E', 'D', 'A', 'C', 'B']"
QUESTÃO 5,"Amuleto

Roberto A. Bolafio

Lo único cierto es que llegué a México en 1965 y
me planté en casa de León Felipe y en casa de Pedro
Garfias y les dije aquí estoy para lo que gusten mandar.
Y les debí de caer simpática, porque antipática no soy,
aunque a veces soy pesada, pero antipática nunca.
Y lo primero que hice fue coger una escoba y ponerme
a barrer el suelo de sus casas y luego a limpiar las
ventanas y cada vez que podía les pedía dinero y les
hacia compra. Y ellos me decían con ese tono espafiol
tan peculiar, esa musiquilla distinta que no los abandonó
nunca, como si encircularan las zetas y las ces y como
si dejaran a las eses más huérfanas y libidinosas que
nunca, Auxilio, me decían, deja ya de trasegar por el
piso, Auxilio, deja esos papeles tranquilos, mujer, que el
polvo siempre se ha avenido con la literatura.

No fragmento do romance, a uruguaia Auxilio narra
a experiência que viveu no México ao trabalhar
voluntariamente para dois escritores espanhóis. Com
base na relação com os escritores, ela reflete sobre a(s)",sujeira dos livros de literatura.,"dificuldades de comunicação entre patrão e
empregada.",orientações sobre a limpeza das casas dos espanhóis.,variação linguística do espanhol,distintas maneiras de acolher do mexicano.,2021,5,LC,D,spanish,"['B', 'E', 'D', 'A', 'C']"
