question,body,A,B,C,D,E,year,question_number,test,answer,language,answer_order
QUESTÃO 46,"A expansão das cidades e a formação das aglomerações urbanas no Brasil foram marcadas pela produção industrial e pela consolidação das metrópoles como locais de seu desenvolvimento. Na segunda metade do século XX, as metrópoles brasileiras estenderam-se por áreas de ocupação contínua, configurando densas regiões urbanizadas. O resultado do processo geográfico descrito foi o(a)",valorização da escala local.,predomínio do planejamento estadual.,inibição de consórcios intermunicipais.,densificação do transporte ferroviário.,crescimento das áreas periféricas.,2020,46,CH,E,portuguese,"['A', 'D', 'E', 'C', 'B']"
QUESTÃO 47,"Descrição da imagem: Representação que trata da zona de pastoreio e cultura do algodão e cereais do agreste (1963). A figura ilustra os meses do ano em três eixos referentes às culturas do feijão, do milho e do algodão, indicando para cada cultura as convenções de pastoreio, plantio e limpa, crescimento, colheita de feijão, colheita de milho verde, colheita de milho seco e colheita de algodão, apresentando os seguintes dados: O pastoreio ocorre em janeiro e fevereiro na cultura do feijão, em janeiro e fevereiro na cultura do milho e em janeiro e fevereiro na cultura do algodão. O plantio e a limpa ocorrem em março e abril na cultura do feijão, em março e abril na cultura do milho e em maio na cultura do algodão. O crescimento ocorre em maio na cultura do feijão, em maio na cultura do milho e de junho a outubro na cultura do algodão. A colheita do feijão ocorre em junho e julho, a colheita do milho verde ocorre em junho e julho, a colheita do milho seco ocorre de agosto a outubro e a colheita do algodão ocorre em novembro e dezembro. A dinâmica produtiva apresentada na imagem tem como estratégia central a",priorização da tecnologia moderna.,intensificação da atividade pecuária.,separação pelo tipo de solo.,adequação pelo tempo da natureza.,exportação da colheita sazonal.,2020,47,CH,D,portuguese,"['C', 'E', 'A', 'D', 'B']"
QUESTÃO 48,"A demanda mundial para a produção de alimentos aumenta progressivamente a taxas muito altas. Atualmente, na maioria dos países, continentes e regiões, a água consumida na agricultura é de cerca de 70 por cento da disponibilidade total. Para que haja a redução da pressão sobre o recurso natural mencionado, a expansão da agricultura demanda melhorias no(a)",eficiência das técnicas de irrigação.,manutenção de poços artesianos.,fertilização química do solo.,escoamento hídrico do terreno.,velocidade das máquinas colheitadeiras.,2020,48,CH,A,portuguese,"['D', 'C', 'A', 'B', 'E']"
QUESTÃO 49,"Hegemonias e emancipações no século XXI, Ana Esther Ceceña No caso do Departamento de Defesa dos Estados Unidos, a ênfase está posta no traçado de uma estratégia geral de desarticulação, não só dos inimigos reais como dos potenciais, inserida na concepção preventiva que supõe que a mínima dissidência é um sinal de perigo e de guerra futura. Deve-se ter capacidade para responder a uma guerra convencional tanto quanto para enfrentar um inimigo difuso, atentando simultaneamente para todas as áreas geográficas do planeta. Trata-se, sem dúvida, da estratégia com pretensões mais abrangentes que se desenvolveu até agora. Tomando o texto como parâmetro, qual tendência contemporânea impulsiona a formulação de estratégias mais abrangentes por parte do Estado americano?",Propagação de organizações em redes.,Projeção da diplomacia mundial.,Ampliação de modelo democrático.,Eliminação das diferenças regionais.,Erradicação dos conflitos em territórios.,2020,49,CH,A,portuguese,"['B', 'E', 'D', 'C', 'A']"
QUESTÃO 50,"O planejamento deixou de controlar o crescimento urbano e passou a encorajá-lo por todos os meios possíveis e imagináveis. Cidades, a nova mensagem soou em alto e bom som, eram máquinas de produzir riquezas; o primeiro e principal objetivo do planejamento devia ser o de azeitar a máquina. O modelo de planejamento urbano problematizado no texto é marcado pelo(a)",soberania do poder governamental.,construção do bem-estar social.,uso de práticas sustentáveis.,primazia da gestão popular.,ampliação da participação empresarial. ,2020,50,CH,E,portuguese,"['D', 'C', 'B', 'A', 'E']"
QUESTÃO 51,"Escudos antigos ou maciços cristalinos são blocos imensos de rochas antigas. Estes escudos são constituídos por rochas cristalinas (magmático-plutônicas) formadas em eras pré-cambrianas, ou por rochas metamórficas (material sedimentar)do Paleozoico. São resistentes, estáveis, porém bastante desgastadas. Correspondem a 36 por cento da área territorial e dividem-se em duas grandes porções: o Escudo das Guianas (norte da Planície Amazônica)e o Escudo Brasileiro (porção centro-oriental brasileira). As estruturas geológicas indicadas no texto são importantes economicamente para o Brasil por concentrarem",afloramentos de sal-gema.,depósitos de calcário agrícola.,fontes de águas termais.,reservas de combustível fóssil.,jazidas de minerais metálicos.,2020,51,CH,E,portuguese,"['B', 'D', 'A', 'E', 'C']"
QUESTÃO 52,"Em A morte de Ivan Ilitch , Tolstoi descreve com detalhes repulsivos o terror de encarar a morte iminente. Ilitch adoece depois de um pequeno acidente e logo compreende que se encaminha para o fim de modo impossível de parar. “Nas profundezas de seu coração, ele sabia estar morrendo, mas em vez de se acostumar com a ideia, simplesmente não o fazia e não conseguia compreendê-la”. O texto descreve a experiência do personagem de Tolstoi diante de um aspecto incontornável de nossas vidas. Esse aspecto foi um tema central na tradição filosófica","pós-modernista, na discussão da fluidez das relações.","utilitarista, no sentido da racionalidade das ações.","existencialista, na questão do reconhecimento de si.","logicista, no propósito de entendimento dos fatos.","marxista, no contexto do materialismo histórico.",2020,52,CH,C,portuguese,"['D', 'C', 'E', 'B', 'A']"
QUESTÃO 53,"Afirmar que a cartografia da época moderna integrou o processo de invenção da América por parte dos europeus significa que os conhecimentos dos ameríndios sobre o território foram ignorados pela cartografia europeia ou que eles foram privados de sua representação territorial e da autoridade que seus conhecimentos tinham sobre o espaço. Na análise contida no texto, a representação cartográfica da América foi marcada por",aprimoramento do conceito de fronteira.,avanço dos estudos do ambiente.,asserção da cultura dos nativos.,exatidão da demarcação das regiões.,afirmação das formas de dominação.,2020,53,CH,E,portuguese,"['E', 'B', 'A', 'D', 'C']"
QUESTÃO 54,"A democracia na América, Alexis Tocqueville A principal característica da situação social dos anglo-americanos é seu caráter eminentemente democrático. Afirmei anteriormente que reinava uma igualdade muito grande entre os emigrantes que foram se estabelecer na Nova Inglaterra. Para isso contribuiu a influência das leis de sucessão. Estabelecidas de uma maneira, as leis de sucessão reúnem, concentram e agrupam em um só a propriedade e o poder. Estabelecidas por outros princípios, produzem o oposto: dividem, partilham e disseminam os bens e o poder. O texto tematiza o papel desempenhado por uma norma na criação de um ambiente propício ao(à)",hierarquização dos agentes econômicos.,contenção da identificação nacionalista.,consolidação dos valores burgueses.,banimento das dissidências religiosas.,emprego do trabalho escravo.,2020,54,CH,C,portuguese,"['E', 'D', 'B', 'C', 'A']"
QUESTÃO 55,"Política, Aristóteles Vemos que toda cidade é uma espécie de comunidade, e toda comunidade se forma com vistas a algum bem, pois todas as ações de todos os homens são praticadas com vistas ao que lhe parece um bem; se todas as comunidades visam algum bem, é evidente que a mais importante de todas elas e que inclui todas as outras tem mais que todas este objetivo e visa ao mais importante de todos os bens. No fragmento, Aristóteles promove uma reflexão que associa dois elementos essenciais à discussão sobre a vida em comunidade, a saber:","Democracia e sociedade, pois se referem a relações sociais.","Metafísica e ontologia, pois tratam da filosofia primeira.","Ética e política, pois conduzem à eudaimonia .","Retórica e linguagem, pois cuidam dos discursos na ágora.","Geração e corrupção, pois abarcam o campo da physis .",2020,55,CH,C,portuguese,"['D', 'C', 'A', 'B', 'E']"
