,human_A_0_25,human_B_0_25,human_C_0_25,human_D_0_25,human_E_0_25,human_entropy_0_25,human_item_id,human_accuracy_0_25,SG_AREA,TX_GABARITO,IN_ITEM_ABAN,CO_PROVA,IN_ITEM_ADAPTADO,TP_VERSAO_DIGITAL,human_A_25_50,human_B_25_50,human_C_25_50,human_D_25_50,human_E_25_50,human_entropy_25_50,human_item_id,human_accuracy_25_50,SG_AREA,TX_GABARITO,IN_ITEM_ABAN,CO_PROVA,IN_ITEM_ADAPTADO,TP_VERSAO_DIGITAL,human_A_50_75,human_B_50_75,human_C_50_75,human_D_50_75,human_E_50_75,human_entropy_50_75,human_item_id,human_accuracy_50_75,SG_AREA,TX_GABARITO,IN_ITEM_ABAN,CO_PROVA,IN_ITEM_ADAPTADO,TP_VERSAO_DIGITAL,human_A_75_100,human_B_75_100,human_C_75_100,human_D_75_100,human_E_75_100,human_entropy_75_100,human_item_id,CORRECT_OPTION_HUMAN,human_accuracy_75_100,CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,TP_VERSAO_DIGITAL
0,0.22324689098865513,0.377059865870322,0.16009135109819278,0.1554642473754263,0.08413764466740378,1.4934462300204607,1,0.377059865870322,CH,B,0,574,1,,0.12632219549656593,0.699536003966989,0.07175516722854944,0.07684914172003748,0.02553749158785818,0.9912094788890984,1,0.699536003966989,CH,B,0,574,1,,0.08976273622511426,0.8050349775986166,0.04507706942102891,0.048012589048105625,0.012112627707134596,0.7299187575689262,1,0.8050349775986166,CH,B,0,574,1,,0.051949352122882125,0.8977650861452503,0.022210886623888027,0.020699650079614038,0.007375025028365481,0.45149588954623443,1,B,0.8977650861452503,46,CH,84333,B,19,0,,1.33904,-0.24666,0.20167,LARANJA,574,,1,
1,0.26352630774552155,0.14005003338240143,0.10103525664229349,0.27958525382691024,0.2158031484028733,1.5455720047999675,2,0.27958525382691024,CH,D,0,574,1,,0.18313246805098962,0.09401976346945806,0.04405727477919845,0.5156050268374907,0.16318546686286317,1.3080982442161782,2,0.5156050268374907,CH,D,0,574,1,,0.1209316496291842,0.09870675486069352,0.022789336540388856,0.6620517137702947,0.09552054519943877,1.0675738720266519,2,0.6620517137702947,CH,D,0,574,1,,0.06925874747859787,0.14128111052874,0.012202792204698146,0.7413875256110926,0.035869824176871394,0.8563850406595404,2,D,0.7413875256110926,47,CH,111924,D,6,0,,1.04807,0.55132,0.21946,LARANJA,574,,1,
2,0.23217913747073693,0.22839930848141424,0.19210586099058588,0.23825167603030953,0.10906401702695344,1.576646527142241,3,0.23825167603030953,CH,D,0,574,1,,0.15166737577679792,0.26850616281168616,0.15231846780640004,0.37912089683092237,0.04838709677419355,1.439989280078239,3,0.37912089683092237,CH,D,0,574,1,,0.07741923062112518,0.27302103790416776,0.0995658284878124,0.5337517809696176,0.01624212201727701,1.1842306557775486,3,0.5337517809696176,CH,D,0,574,1,,0.024827038405020055,0.18961197823583145,0.04378251717701259,0.7379927717542396,0.0037856944278962627,0.7893418881575028,3,D,0.7379927717542396,48,CH,112103,D,30,0,,1.73079,1.00147,0.27,LARANJA,574,,1,
3,0.26507878130927953,0.17725955892790315,0.1836746544849212,0.21757126450130979,0.15641574077658627,1.5919239219059085,4,0.17725955892790315,CH,B,0,574,1,,0.32846995832546183,0.15207573430988353,0.1416675950998106,0.20379834109180509,0.17398837117303895,1.5573934145697013,4,0.15207573430988353,CH,B,0,574,1,,0.3588160482095856,0.1578516635554891,0.10607748841950572,0.15248628911280793,0.2247685107026116,1.519457074753688,4,0.1578516635554891,CH,B,0,574,1,,0.2611613572668779,0.29989766865971407,0.05613582217582211,0.07508223906701827,0.30772291283056763,1.4305500110843796,4,B,0.29989766865971407,49,CH,111968,B,7,0,,2.04864,2.07959,0.11925,LARANJA,574,,1,
4,0.16796318668113994,0.26054003835527173,0.22073958899535961,0.18851019285701612,0.16224699311121255,1.593178049393577,5,0.16224699311121255,CH,E,0,574,1,,0.14012257942737114,0.23355430326711765,0.1630396729494404,0.19679660817336003,0.2664868361827108,1.5830766333593633,5,0.2664868361827108,CH,E,0,574,1,,0.15778094742455492,0.14645374350275953,0.1151127901672417,0.20191078300983661,0.3787417358956073,1.5123137401538251,5,0.3787417358956073,CH,E,0,574,1,,0.14313134606057232,0.04222252260131831,0.07070535196037116,0.13494954956387606,0.6089912298138621,1.1715015413224603,5,E,0.6089912298138621,50,CH,112012,E,19,0,,1.34049,1.03565,0.19675,LARANJA,574,,1,
5,0.2542446374830545,0.12132417537247872,0.24873180725727026,0.17426507686529513,0.2014343030219014,1.5773943091069942,6,0.24873180725727026,CH,C,0,574,1,,0.1853357730720556,0.06498141983120662,0.39665476353611645,0.13148472073321135,0.22154332282741,1.4574792733258677,6,0.39665476353611645,CH,C,0,574,1,,0.10691293807895455,0.045256786912616996,0.5038658511133587,0.10569121353690057,0.23827321035816917,1.3037669885881062,6,0.5038658511133587,CH,C,0,574,1,,0.046330996996137894,0.028439739983152943,0.6232505284572227,0.08291454091768782,0.21906419364579857,1.0773254375909482,6,C,0.6232505284572227,51,CH,88041,C,29,0,,1.30366,1.05118,0.23195,LARANJA,574,,1,
6,0.19498397650209215,0.22376182427805644,0.16501866588469205,0.19549956416730174,0.22073596916785762,1.6036700371383414,7,0.22073596916785762,CH,E,0,574,1,,0.1405513493464922,0.25117599154995446,0.12820363964748474,0.14167372180966434,0.3383952976464043,1.5296879812954813,7,0.3383952976464043,CH,E,0,574,1,,0.08322629331106901,0.2585161041713497,0.09019941556147844,0.08081628720978774,0.48724189974631515,1.3272559276768796,7,0.48724189974631515,CH,E,0,574,1,,0.026542554544067537,0.18328205258607538,0.04786909423790876,0.03556171489599756,0.7067445837359507,0.9167431644104578,7,E,0.7067445837359507,52,CH,87216,E,2,0,,1.94651,1.07266,0.32936,LARANJA,574,,1,
7,0.22318017236654167,0.21205340589966887,0.1906704110551889,0.20678826256718458,0.16730774811141597,1.604621824612053,8,0.1906704110551889,CH,C,0,574,1,,0.28414920483794187,0.17592970622170942,0.1881229979747775,0.20157338002372174,0.1502247109418495,1.5851394369828584,8,0.1881229979747775,CH,C,0,574,1,,0.3453542277867969,0.1300861181631765,0.2677435050076355,0.14329850389161605,0.11351764515077503,1.5107014252756237,8,0.2677435050076355,CH,C,0,574,1,,0.2394944632445228,0.042894364742703715,0.6481101949382775,0.03226728945236166,0.03723368762213431,0.9917635361447212,8,C,0.6481101949382775,53,CH,111919,C,11,0,,2.83963,1.08367,0.17694,LARANJA,574,,1,
8,0.18855507960570086,0.24838782950219654,0.12632038495554548,0.2008821629423904,0.2358545429941667,1.5849974340681057,9,0.24838782950219654,CH,B,0,574,1,,0.12916092093060763,0.28724648199669367,0.06930526994879238,0.21480908027902101,0.2994782468448853,1.499123172161734,9,0.28724648199669367,CH,B,0,574,1,,0.08857366335647736,0.3024719613634575,0.04062329852896536,0.23170843351434176,0.33662264323675806,1.411848499498712,9,0.3024719613634575,CH,B,0,574,1,,0.050614328771262936,0.42124106340509115,0.02484194453943235,0.19407063389186224,0.3092320293923513,1.288108886364094,9,B,0.42124106340509115,54,CH,63343,B,24,0,,1.6559,1.87439,0.19625,LARANJA,574,,1,
9,0.22661896012635788,0.12725397285884665,0.1609048125584244,0.3868081745801502,0.09841407987622088,1.488300020787113,10,0.22661896012635788,CH,A,0,574,1,,0.24202474719694683,0.07429320798968947,0.09516427964235767,0.5365070352561259,0.052010729914880094,1.2481770743139924,10,0.24202474719694683,CH,A,0,574,1,,0.2649466689363014,0.0431161014526733,0.04671647016126183,0.6156389610639876,0.029581798385775813,1.0333721809636258,10,0.2649466689363014,CH,A,0,574,1,,0.4412676360815631,0.02242540231565963,0.016989133821219887,0.5070035669551174,0.012314260826439976,0.913919794456121,10,A,0.4412676360815631,55,CH,46932,A,23,0,,2.11017,1.58198,0.23073,LARANJA,574,,1,
