,human_A_0_25,human_B_0_25,human_C_0_25,human_D_0_25,human_E_0_25,human_entropy_0_25,human_item_id,human_accuracy_0_25,SG_AREA,TX_GABARITO,IN_ITEM_ABAN,CO_PROVA,IN_ITEM_ADAPTADO,human_A_25_50,human_B_25_50,human_C_25_50,human_D_25_50,human_E_25_50,human_entropy_25_50,human_item_id,human_accuracy_25_50,SG_AREA,TX_GABARITO,IN_ITEM_ABAN,CO_PROVA,IN_ITEM_ADAPTADO,human_A_50_75,human_B_50_75,human_C_50_75,human_D_50_75,human_E_50_75,human_entropy_50_75,human_item_id,human_accuracy_50_75,SG_AREA,TX_GABARITO,IN_ITEM_ABAN,CO_PROVA,IN_ITEM_ADAPTADO,human_A_75_100,human_B_75_100,human_C_75_100,human_D_75_100,human_E_75_100,human_entropy_75_100,human_item_id,CORRECT_OPTION_HUMAN,human_accuracy_75_100,CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO
0,0.2845168417275468,0.1935191519023981,0.227397741427365,0.09243626421635638,0.20213000072633372,1.5555342587149843,1,0.09243626421635638,MT,D,0,522,0,0.1680510656535211,0.10820498556797876,0.15987779048839432,0.39880972351342603,0.16505643477667975,1.4974046473206202,1,0.39880972351342603,MT,D,0,522,0,0.0765901150703868,0.04890194447894336,0.1100107456625862,0.6354272075856818,0.12906998720240184,1.139575600793428,1,0.6354272075856818,MT,D,0,522,0,0.01488347245697873,0.010531870831832874,0.04551662833061358,0.8548474830677927,0.07422054531278217,0.5783033108819263,1,D,0.8548474830677927,136,MT,63187,D,1,0,,1.86876,0.4293,0.12552,Laranja,522,,0
1,0.13243311820121792,0.18411904266208642,0.2554487846770416,0.22322884678776522,0.20477020767188883,1.5874006103935927,2,0.18411904266208642,MT,B,0,522,0,0.11044248938198839,0.1822950073675999,0.24200940452457312,0.23514561844500304,0.23010748028083558,1.5754420004747542,2,0.1822950073675999,MT,B,0,522,0,0.0841936171755845,0.17814343223756066,0.21651983117978227,0.2692647834054792,0.2518783360015934,1.547550494653375,2,0.17814343223756066,MT,B,0,522,0,0.049689576109324896,0.23916018046787646,0.1581149634321962,0.33188273068606505,0.22115254930453737,1.4827018512396897,2,B,0.23916018046787646,137,MT,117612,B,17,0,,1.94459,2.78766,0.16241,Laranja,522,,0
2,0.1251469382620728,0.24864448097718825,0.2831147875196821,0.23328807707155838,0.10980571616949844,1.5455102821529585,3,0.10980571616949844,MT,E,0,522,0,0.12395770130883245,0.27671513391696284,0.2986424113721071,0.19954385888879259,0.10114089451330502,1.528574187682904,3,0.10114089451330502,MT,E,0,522,0,0.12258003087952549,0.31541585112909354,0.32600079849648955,0.1453209512278777,0.09068236826701376,1.4846108033843155,3,0.09068236826701376,MT,E,0,522,0,0.16285318079389843,0.22682223955624892,0.28096073842953717,0.06750086670133472,0.2618629745189808,1.5216005599790168,3,E,0.2618629745189808,138,MT,63808,E,9,0,,2.89605,1.98685,0.08712,Laranja,522,,0
3,0.0880028696705731,0.06289325215604592,0.6654048641349699,0.09203427999228397,0.09166473404612714,1.0975227260040523,4,0.06289325215604592,MT,B,0,522,0,0.06640532411491136,0.15143401082529626,0.6467751938152296,0.07261239010462721,0.06277308113993552,1.1119788684095082,4,0.15143401082529626,MT,B,0,522,0,0.040932969292712854,0.43492737908033663,0.4455008294596416,0.049512692460557464,0.029126129706751457,1.1049421844766,4,0.43492737908033663,MT,B,0,522,0,0.0139330852928424,0.8677330029010141,0.0998563008664117,0.01440883863203615,0.004068772307695635,0.4962088816959677,4,B,0.8677330029010141,139,MT,54448,B,20,0,,3.06326,0.80679,0.08034,Laranja,522,,0
4,0.3185861923456177,0.37528515996619843,0.12551703040946965,0.0927839748505995,0.08782764242811474,1.4269336145832567,5,0.3185861923456177,MT,A,0,522,0,0.5928109677077097,0.23925981181325967,0.06945868433845032,0.052706794838343674,0.045763741302236656,1.1336714737729248,5,0.5928109677077097,MT,A,0,522,0,0.7217512048583345,0.1770277279505522,0.04301938579239697,0.03157809427070952,0.02662358712800674,0.8828503449097238,5,0.7217512048583345,MT,A,0,522,0,0.8432197658678676,0.10725844235802805,0.02183992494960392,0.014715763937505613,0.012966102886994835,0.5851909971522725,5,A,0.8432197658678676,140,MT,86432,A,1,0,,1.12267,0.37213,0.26876,Laranja,522,,0
5,0.11313939454402118,0.2936451737782496,0.19255872762505408,0.22473896122344747,0.17591774282922767,1.5647791605604986,6,0.19255872762505408,MT,C,1,522,0,0.08678941558673688,0.34868398959627617,0.17227349097798686,0.2116243523400254,0.18062875149897467,1.5202315837247733,6,0.17227349097798686,MT,C,1,522,0,0.06284705622770566,0.417122918744227,0.1440628102820579,0.1793108520575148,0.19665636268849465,1.4457366688005742,6,0.1440628102820579,MT,C,1,522,0,0.03618287371431482,0.4357322675417255,0.1150725488942376,0.13705775193252395,0.27595455791719814,1.3585596492655734,6,C,0.1150725488942376,141,MT,23065,C,14,1,Não permitiu a convergência do algoritmo de estimação da TRI,,,,Laranja,522,,0
6,0.1321111995092099,0.17964998688480524,0.3247322224076896,0.1999666158678682,0.16353997533042702,1.5590536547382792,7,0.1321111995092099,MT,A,0,522,0,0.1642605805354958,0.15103125710511786,0.3813821551920141,0.17348180548488032,0.12984420168249192,1.5187799240219033,7,0.1642605805354958,MT,A,0,522,0,0.18594417957285314,0.10306722743560595,0.5170813359902139,0.11260476595965403,0.08130249104167298,1.3380157226890923,7,0.18594417957285314,MT,A,0,522,0,0.15998204211448694,0.040046084694148,0.7457314863395663,0.030671203016059325,0.023569183835739436,0.8360499058420608,7,A,0.15998204211448694,142,MT,117798,A,26,0,,2.72919,1.92868,0.23186,Laranja,522,,0
7,0.20311052204361146,0.24317060403862847,0.2316646418976547,0.18879661529424896,0.1332576167258564,1.589718651219496,8,0.24317060403862847,MT,B,0,522,0,0.18046674188009018,0.2581957007083199,0.2439264438703586,0.1826256991708478,0.13478541437038352,1.583397499606627,8,0.2581957007083199,MT,B,0,522,0,0.1594604590402201,0.2818477536789833,0.26218541556722524,0.16955333119933558,0.12695304051423578,1.5635905543063617,8,0.2818477536789833,MT,B,0,522,0,0.1302313034830398,0.48879882739501646,0.21917009813958377,0.09789583272395574,0.06390393825840426,1.3512883614764004,8,B,0.48879882739501646,143,MT,30740,B,12,0,,1.64938,1.94549,0.20724,Laranja,522,,0
8,0.2642505194033476,0.3214748886373198,0.19219658820314633,0.15643366167432218,0.06564434208186404,1.5024650389968277,9,0.19219658820314633,MT,C,0,522,0,0.2585879857570134,0.3220693711875258,0.21490140512457198,0.146455340090844,0.057985897840044806,1.491537154231915,9,0.21490140512457198,MT,C,0,522,0,0.25993292221140324,0.3156421075408417,0.23524937790760575,0.14181542789137727,0.047360164448772044,1.4760741561045636,9,0.23524937790760575,MT,C,0,522,0,0.23492830277003898,0.1900916627927515,0.43913618735229004,0.11210947955168778,0.02373436753323169,1.3513855820205423,9,C,0.43913618735229004,144,MT,30436,C,12,0,,1.64692,0.47926,0.18811,Laranja,522,,0
9,0.22089965457985455,0.21694424675843155,0.2540497908385551,0.16700152748607036,0.1411047803370884,1.588400076142745,10,0.16700152748607036,MT,D,0,522,0,0.12512262465486437,0.14790428238860917,0.16332521249526286,0.4776601158572898,0.0859877646039738,1.4025801811887144,10,0.4776601158572898,MT,D,0,522,0,0.05736031286461259,0.09802839116719243,0.09321010327989283,0.7019662071647724,0.049434985523529665,1.0098683836737297,10,0.7019662071647724,MT,D,0,522,0,0.015577506776826606,0.04565731432144116,0.035329279136027625,0.8745178339250211,0.02891806584068346,0.5435879091334074,10,D,0.8745178339250211,145,MT,117725,D,24,0,,1.20999,2.11115,0.06509,Laranja,522,,0
