question,body,A,B,C,D,E,year,question_number,test,answer,language,answer_order
QUESTION 46,"Pure hospitality consists of welcoming those who arrive before imposing conditions, before knowing and asking anything, even if it's a name or an identity document. But it also means addressing them in a unique way, calling them by their first name and recognizing them: ""What's your name?"" Hospitality consists of doing everything you can to address the other person, to grant them permission, even to ask their name, preventing this question from becoming a ""condition"", a police inquiry, a file or a simple border control.  An art and a poetics, but also a whole politics depend on it, a whole ethic is decided there. Associated with the contemporary migratory context, the concept of hospitality proposed by the author imposes the need for",verification of provenance.,suppression of communication.,incorporation of otherness.,crystallization of biography.,annulment of the difference.,2019,46,CH,C,english,"['E', 'D', 'C', 'B', 'A']"
QUESTION 47,"In a general and fundamental sense, Law is the technique of human coexistence, that is, the technique aimed at making it possible for men to coexist. As a technique, Law is concretized in a set of rules (which, in this case, are laws or norms); and these rules have intersubjective behavior as their object, that is, the reciprocal behavior of men among themselves. The general and fundamental meaning of Law, as has been pointed out, refers to the",regulating social interaction.,representation of the constituted authority.,mediation of economic conflicts.,application of legal codes.,legitimizing political decisions.,2019,47,CH,A,english,"['B', 'E', 'D', 'A', 'C']"
QUESTION 48,"The processing of manioc was an activity already carried out by the natives who lived in Brazil before the arrival of the Portuguese and Africans. However, throughout the process of Portuguese colonization, the production of flour was perfected and expanded, becoming commonplace throughout the territory of the Portuguese colony in America. With the consolidation of Atlantic trade in its various connections, flour crossed the seas and reached African markets. Considering the formation of the Atlantic space, this product historically exemplifies the",spread of eating habits.,expanding indigenous knowledge.,diversification of religious offerings.,appropriation of warrior customs.,dissemination of festive rituals.,2019,48,CH,A,english,"['A', 'C', 'E', 'D', 'B']"
QUESTION 49,"Brazil, Germany, Japan and India call for Security Council reform In September 2018, the representatives of the G4 (Brazil, Germany, India and Japan) reiterated their call for the expansion of the United Nations Security Council during a meeting in New York (United States). In a ten-item joint statement, the foreign ministers stressed that the body as it stands, with only five permanent and ten rotating members, does not reflect the 21st century. ""Security Council reform is essential to meet today's complex challenges. As aspirants for new permanent members of a reformed council, the ministers reiterated their commitment to working to strengthen the functioning of the UN and the global multilateral order, as well as their support for their respective candidacies,"" says the joint statement. The countries mentioned in the text justify their claim on the basis of the following common characteristic:",Development of nuclear energy.,Protagonism on a regional scale.,Extent of territorial area.,Investment in military technology.,Availability of mineral resources.,2019,49,CH,B,english,"['D', 'B', 'A', 'C', 'E']"
QUESTION 50,"It was now a question of building a new rhythm. To do so, it was necessary to summon all the living forces of the nation, all the men who, with the will to work and confidence in the future, could build a new era. And to the great call that summoned the people to the gigantic task, the workers began to arrive from all corners of the immense homeland: the simple, quiet men, with feet made of roots, faces made of leather and hands made of stone, and on their heels, in ox carts, on donkey backs, on sticks, in every way possible and imaginable, in their hope-filled silence, often leaving behind wives and children to await their promises of better days; they arrived from so many villages, so many towns whose names seemed to sing nostalgia in their ears, within the ancient rhythms of the immense homeland... Land of sun, land of light... Brazil! Brazil! Brasília! (Vinicius de Moraes and Antônio Carlos Jobim) In the text, the narrative produced about the construction of Brasilia articulates the political and socio-economic elements indicated in, respectively:",Symbolic appeal and interregional migration.,Trade union organization and the expansion of capital.,Party consensus and road modernization.,Democratic perspective and transport efficiency.,Territorial security and financial stability.,2019,50,CH,A,english,"['A', 'B', 'D', 'E', 'C']"
QUESTION 51,"Greeted by hundreds of social movement activists from forty countries, Pope Francis closed the Second World Meeting of Popular Movements in Santa Cruz de La Sierra, Bolivia, on July 9, 2015. According to him, the ""globalization of hope, which is born of the peoples and grows among the poor, must replace this globalization of exclusion and indifference"". The text criticizes the following aspects of the globalized world:",Commercial complementarity.,Human mobility.,Cultural connectivity.,Political freedom.,Economic disparity.,2019,51,CH,E,english,"['E', 'B', 'C', 'A', 'D']"
QUESTION 52,"The Universal Declaration of Human Rights, adopted and proclaimed by the UN General Assembly in Resolution 217-A of December 10, 1948, was a major historical event. By affirming, for the first time on a global scale, the role of human rights in collective coexistence, it can be considered the inaugural event of a new conception of international life. The declaration mentioned in the text introduced a new concept in international relations by making it possible to",defense of vulnerable groups.,reduction of warmongering truculence.,overcoming state sovereignty.,impunity for criminal acts.,inhibiting civilizational clashes.,2019,52,CH,A,english,"['B', 'C', 'A', 'D', 'E']"
QUESTION 53,"Image description: On one wall there are two photos showing people belonging to indigenous communities. The photos are framed with arabesques drawn around each of them. In the center, between the framed photos, next to an engraving of the bust of a woman speaking, is written: ""NUESTRA CULTURA NO CABE EN SUS MUSEOS"". Translation of the text in Spanish: ""Our culture doesn't fit in your museums"". Produced in Chile at the end of the 1970s, the image expresses a conflict between cultures and their presence in museums as a result of the",defining the criteria for creating collections.,bureaucratization of access to exhibition spaces.,expanding the network of memory institutions.,appreciation of the art market.,fragmentation of the territories of the communities represented.,2019,53,CH,A,english,"['B', 'D', 'C', 'A', 'E']"
QUESTION 54,"Image description: A globe on which all the countries and continents have been grouped into a single block, thus forming a supercontinent surrounded by water. The political division of the world as shown in the image would be possible if the planet were marked by the stability of the",hydrological cycle.,geological structure.,erosive process.,atmospheric pressure.,pluviometric index.,2019,54,CH,B,english,"['A', 'C', 'B', 'E', 'D']"
QUESTION 55,"The medieval city is first and foremost a society of abundance, concentrated in a small space in the midst of vast, sparsely populated regions. Next, it is a place of production and exchange, where crafts and commerce come together, supported by a monetary economy. It is also the center of a particular value system, from which emerges the laborious and creative practice of work, a taste for business and money, a penchant for luxury and a sense of beauty. It is also a system for organizing an enclosed space with walls, where you enter through gates and walk through streets and squares, and which is guarded by towers. In the text, the space described is characterized by the association between the expansion of urban activities and the",independence of rural food production.,permanence of the protective architectural elements.,acceptance of the usury practices of the religious.,emancipation from the hegemonic power of royalty.,overcoming the corporative order of the trades.,2019,55,CH,B,english,"['C', 'E', 'B', 'A', 'D']"
