,CO_POSICAO,ORDERED_OPTIONS_HARD_TO_EASY,ORDER_OPTIONS_EASY_TO_HARD,CORRECT_OPTION
0,91,DBAEC,DCEAB,D
1,92,ABDCE,AECDB,A
2,93,DBACE,DECAB,D
3,94,CBAED,CDEAB,C
4,95,CBDAE,CEADB,C
5,96,EADCB,EBCDA,E
6,97,BDCAE,BEACD,B
7,98,BDCEA,BAECD,B
8,99,CBDAE,CEADB,C
9,100,CDEBA,CABED,C
10,101,ABDCE,AECDB,A
11,102,CEDBA,CABDE,C
12,103,BCDAE,BEADC,B
13,104,EBADC,ECDAB,E
14,105,ECABD,EDBAC,E
15,106,BACDE,BEDCA,B
16,107,EBCAD,EDACB,E
17,108,EBCDA,EADCB,E
18,109,BACED,BDECA,B
19,110,ACDEB,ABDEC,A
20,111,CBDAE,CEADB,C
21,112,BACDE,BEDCA,B
22,113,CBEAD,CDAEB,C
23,114,DBCEA,DAECB,D
24,115,DBEAC,DCAEB,D
25,116,DABCE,DECBA,D
26,117,DACBE,DEBCA,D
27,118,ABCDE,AEDCB,A
28,119,DEABC,DCBAE,D
29,120,BDCEA,BAECD,B
30,121,CBADE,CEDAB,C
31,122,BECDA,BADCE,B
32,123,BADCE,BCEDA,B
33,124,CBDAE,CEADB,C
34,125,EDBCA,EACBD,E
35,126,ABCDE,AEDCB,A
36,127,EDBAC,ECABD,E
37,128,ABDEC,ACEDB,A
38,129,DEABC,DCBAE,D
39,130,EDBCA,EACBD,E
40,131,ADCBE,AEBCD,A
41,132,DBAEC,DCEAB,D
42,133,ACDBE,AEBDC,A
43,134,AECDB,ABDCE,A
44,135,EDCAB,EBACD,E
