,CO_POSICAO,ORDERED_OPTIONS_HARD_TO_EASY,ORDER_OPTIONS_EASY_TO_HARD,CORRECT_OPTION
0,136,DBCEA,DAECB,D
1,137,DBEAC,DCAEB,D
2,138,CEDBA,CABDE,C
3,139,ADCBE,AEBCD,A
4,140,BDCEA,BAECD,B
5,141,DBCAE,DEACB,D
6,142,CDBAE,CEABD,C
7,143,CEBDA,CADBE,C
8,144,ACBDE,ABDEC,A
9,145,EADBC,EBCDA,E
10,146,DBCAE,DEACB,D
11,147,CBDAE,CEADB,C
12,148,EBCAD,EDACB,E
13,149,BADCE,BECDA,B
14,150,BCADE,BEDAC,B
15,151,DCBAE,DEABC,D
16,152,BDACE,BECAD,B
17,153,DCEBA,DABEC,D
18,154,ABDEC,ACEDB,A
19,155,EDABC,ECBAD,E
20,156,EBADC,ECDAB,E
21,157,BACDE,BEDCA,B
22,158,AEBCD,ADCBE,A
23,159,DEBCA,DACBE,D
24,160,CBEAD,CDAEB,C
25,161,ACBED,ADEBC,A
26,162,EDBCA,EACBD,E
27,163,CBDEA,CAEDB,C
28,164,DCBEA,DAEBC,D
29,165,BEDAC,BCADE,B
30,166,CDEBA,CABED,C
31,167,CBADE,CEDAB,C
32,168,CAEDB,CBDEA,C
33,169,CDABE,CEBAD,C
34,170,DEBAC,DCABE,D
35,171,DCABE,DEBAC,D
36,172,CEDAB,CBADE,C
37,173,EDBCA,EACBD,E
38,174,ECBAD,EDABC,E
39,175,BACED,BDECA,B
40,176,ADBEC,ACEBD,A
41,177,BCDEA,BAEDC,B
42,178,XADEBC,XCBEDA,X
43,179,EDCBA,EABCD,E
44,180,EABCD,EBCDA,E
