,CO_POSICAO,ORDERED_OPTIONS_HARD_TO_EASY,ORDER_OPTIONS_EASY_TO_HARD,CORRECT_OPTION
0,136,BDEAC,BCAED,B
1,137,ADBCE,AECBD,A
2,138,ECBAD,EDABC,E
3,139,CEDBA,CABDE,C
4,140,DBCAE,DEACB,D
5,141,BAECD,BDCEA,B
6,142,BCEAD,BDAEC,B
7,143,XDBCEA,XAECBD,X
8,144,CADBE,CEBAD,C
9,145,CEABD,CDBAE,C
10,146,CDABE,CEBAD,C
11,147,BAECD,BDCEA,B
12,148,DECAB,DBACE,D
13,149,BACDE,BEDAC,B
14,150,ACBDE,AEDBC,A
15,151,CDBEA,CAEBD,C
16,152,CBDAE,CEADB,C
17,153,DACBE,DEBCA,D
18,154,BCADE,BEDAC,B
19,155,ECBDA,EADBC,E
20,156,EBCDA,EADCB,E
21,157,EBCDA,EADCB,E
22,158,BCDEA,BAEDC,B
23,159,CDBEA,CAEBD,C
24,160,CBDEA,CAEDB,C
25,161,ABEDC,ACDEB,A
26,162,BAEDC,BCDEA,B
27,163,BDCAE,BEACD,B
28,164,CDEBA,CABED,C
29,165,CDEAB,CBAED,C
30,166,ACBDE,AEDBC,A
31,167,CBEDA,CADEB,C
32,168,EADBC,ECBDA,E
33,169,ABDCE,AECDB,A
34,170,CBDAE,CEADB,C
35,171,CDBAE,CEABD,C
36,172,EBACD,EDCAB,E
37,173,DCBEA,DAEBC,D
38,174,BACDE,BEDCA,B
39,175,CBDAE,CEADB,C
40,176,ABDEC,ACEDB,A
41,177,BDEAC,BCAED,B
42,178,CBDAE,CEADB,C
43,179,DBCAE,DEACB,D
44,180,ABCED,ADECB,A
