,CO_POSICAO,ORDERED_OPTIONS_HARD_TO_EASY,ORDER_OPTIONS_EASY_TO_HARD,CORRECT_OPTION
0,136,DECAB,DBACE,D
1,137,BDECA,BACED,B
2,138,ECBAD,EDABC,E
3,139,BCDAE,BEADC,B
4,140,ABCDE,AEDCB,A
5,141,CBEDA,CADEB,C
6,142,ACBDE,AEDBC,A
7,143,BCADE,BEDAC,B
8,144,CABDE,CEDBA,C
9,145,DBCEA,DAECB,D
10,146,BEDCA,BACDE,B
11,147,ABDCE,AECDB,A
12,148,BCEAD,BDAEC,B
13,149,EDCBA,EABCD,E
14,150,CBADE,CEDAB,C
15,151,DECAB,DABCE,D
16,152,ECABD,EDBAC,E
17,153,EBDAC,ECADB,E
18,154,DBCEA,DAECB,D
19,155,CBADE,CEDAB,C
20,156,BACDE,BEDCA,B
21,157,DBCAE,DEACB,D
22,158,CEABD,CDBAE,C
23,159,CBADE,CEDAB,C
24,160,EADCB,EBCDA,E
25,161,DBECA,DACEB,D
26,162,CDBEA,CAEBD,C
27,163,DEBCA,DACBE,D
28,164,ABCED,ADECB,A
29,165,BCEDA,BADEC,B
30,166,EABDC,ECDBA,E
31,167,DCBAE,DEABC,D
32,168,ACEDB,ABDEC,A
33,169,ABDCE,AECDB,A
34,170,DBCAE,DEACB,D
35,171,DABCE,DECBA,D
36,172,DCBEA,DAEBC,D
37,173,ECBDA,EADBC,E
38,174,CDABE,CEBAD,C
39,175,ADECB,ABCED,A
40,176,CEBAD,CDABE,C
41,177,AEBDC,ACDBE,A
42,178,ECDAB,EBADC,E
43,179,CEDAB,CBADE,C
44,180,BCEDA,BADEC,B
