,CO_POSICAO,ORDERED_OPTIONS_HARD_TO_EASY,ORDER_OPTIONS_EASY_TO_HARD,CORRECT_OPTION
0,46,CBDAE,CEADB,C
1,47,BACED,BDECA,B
2,48,EBDAC,ECADB,E
3,49,CEDBA,CABDE,C
4,50,AEDCB,ABCDE,A
5,51,BECDA,BADCE,B
6,52,BEDAC,BCADE,B
7,53,CDEAB,CBAED,C
8,54,DABCE,DECBA,D
9,55,ECBDA,EADBC,E
10,56,ACDEB,ABEDC,A
11,57,CDBAE,CEABD,C
12,58,DAECB,DBCEA,D
13,59,CDABE,CEBAD,C
14,60,EBDCA,EACDB,E
15,61,DCABE,DEBAC,D
16,62,AEDCB,ABCDE,A
17,63,ABCED,ADECB,A
18,64,AEDBC,ACBDE,A
19,65,DEBAC,DCABE,D
20,66,BCDEA,BAEDC,B
21,67,CABED,CDEBA,C
22,68,DCEAB,DBAEC,D
23,69,DEBAC,DCABE,D
24,70,ABDEC,ACEDB,A
25,71,EDCBA,EABCD,E
26,72,CBADE,CEDAB,C
27,73,BADEC,BCEDA,B
28,74,AECDB,ABDCE,A
29,75,BCDAE,BEADC,B
30,76,ADEBC,ACBED,A
31,77,EDCBA,EABCD,E
32,78,CBADE,CEDAB,C
33,79,BAECD,BDCEA,B
34,80,EDACB,EBCAD,E
35,81,BDECA,BACED,B
36,82,ABDEC,ACEDB,A
37,83,ECABD,EDBAC,E
38,84,EDABC,ECBAD,E
39,85,DACEB,DBECA,D
40,86,ABECD,ADCEB,A
41,87,DACBE,DEBCA,D
42,88,ECADB,EBDAC,E
43,89,AEDBC,ACBDE,A
44,90,BCAED,BDEAC,B
