,CO_POSICAO,ORDERED_OPTIONS_HARD_TO_EASY,ORDER_OPTIONS_EASY_TO_HARD,CORRECT_OPTION
0,91,DEABC,DCBAE,D
1,92,CABED,CDEBA,C
2,93,DABCE,DECBA,D
3,94,XDACBE,XEBCAD,X
4,95,DCEAB,DBAEC,D
5,96,CABDE,CDEBA,C
6,97,CDBEA,CAEBD,C
7,98,AECDB,ABDCE,A
8,99,ECBAD,EDABC,E
9,100,BDCAE,BEACD,B
10,101,ABCED,ADCEB,A
11,102,DEABC,DBCAE,D
12,103,CBDAE,CEADB,C
13,104,BEDAC,BCADE,B
14,105,ACEBD,ADBEC,A
15,106,ACBDE,AEDBC,A
16,107,EABCD,EABCD,E
17,108,ABCED,ADECB,A
18,109,CEBAD,CDABE,C
19,110,CBDAE,CEADB,C
20,111,BEDAC,BACDE,B
21,112,CDABE,CEBAD,C
22,113,ECADB,EBDAC,E
23,114,DBACE,DECAB,D
24,115,DACBE,DEBCA,D
25,116,CEABD,CDBAE,C
26,117,BDCAE,BEACD,B
27,118,DCBAE,DEABC,D
28,119,DCBAE,DEABC,D
29,120,DEBCA,DACBE,D
30,121,ABCDE,AEDCB,A
31,122,EDCAB,EBACD,E
32,123,DEBCA,DACBE,D
33,124,DACBE,DEBCA,D
34,125,CDABE,CEBAD,C
35,126,DBACE,DECAB,D
36,127,EDCBA,EABCD,E
37,128,CDAEB,CBEAD,C
38,129,CDEBA,CABED,C
39,130,EABCD,EDCBA,E
40,131,DEBAC,DCABE,D
41,132,BEACD,BDCAE,B
42,133,DEACB,DBCAE,D
43,134,DECAB,DBACE,D
44,135,DCABE,DEBAC,D
