,CO_POSICAO,ORDERED_OPTIONS_HARD_TO_EASY,ORDER_OPTIONS_EASY_TO_HARD,CORRECT_OPTION
0,1,EDABC,ECBAD,E
1,2,ECDBA,EABDC,E
2,3,EBCAD,EDACB,E
3,4,CDBAE,CEABD,C
4,5,ACDBE,AEBDC,A
5,6,DABCE,DECBA,D
6,7,BCAED,BDEAC,B
7,8,BCDAE,BEADC,B
8,9,CBEAD,CDAEB,C
9,10,ACDEB,ABEDC,A
10,11,ADECB,ABCED,A
11,12,ABCDE,AEDCB,A
12,13,DCEAB,DBAEC,D
13,14,BACDE,BEDCA,B
14,15,AEDBC,ACBDE,A
15,16,DEACB,DBCAE,D
16,17,EACBD,EDBCA,E
17,18,ABDCE,AECDB,A
18,19,BADCE,BECDA,B
19,20,ECDBA,EABDC,E
20,21,BCDAE,BEADC,B
21,22,ABEDC,ACDEB,A
22,23,ACDEB,ABEDC,A
23,24,AEDCB,ABCDE,A
24,25,DABCE,DECBA,D
25,26,EDACB,EBCAD,E
26,27,BACED,BDECA,B
27,28,ADCEB,ABECD,A
28,29,DECAB,DBACE,D
29,30,ACEDB,ABDEC,A
30,31,DACBE,DEBCA,D
31,32,ACBED,ADEBC,A
32,33,EACDB,EBDCA,E
33,34,BAEDC,BCDEA,B
34,35,DABEC,DCEBA,D
35,36,ABCED,ADECB,A
36,37,CABDE,CEDBA,C
37,38,ADCEB,ABECD,A
38,39,ABECD,ADCEB,A
39,40,CABED,CDEBA,C
40,41,BAECD,BDCEA,B
41,42,BAECD,BDCEA,B
42,43,EDABC,ECBAD,E
43,44,CABDE,CEDBA,C
44,45,EABCD,EDCBA,E
