,CO_POSICAO,ORDERED_OPTIONS_HARD_TO_EASY,ORDER_OPTIONS_EASY_TO_HARD,CORRECT_OPTION
0,46,BACDE,BEDCA,B
1,47,DBAEC,DCEAB,D
2,48,DBCAE,DEACB,D
3,49,BEADC,BCDAE,B
4,50,EADCB,EBCDA,E
5,51,CEDAB,CBADE,C
6,52,EBCDA,EADCB,E
7,53,CABED,CDEBA,C
8,54,BEDAC,BCADE,B
9,55,ADBCE,AECBD,A
10,56,CDBEA,CAEBD,C
11,57,DBCAE,DEACB,D
12,58,BACED,BDECA,B
13,59,DCAEB,DBEAC,D
14,60,EACBD,EDBCA,E
15,61,EBADC,ECDAB,E
16,62,BEADC,BCDAE,B
17,63,DBCAE,DEACB,D
18,64,EADCB,EBCDA,E
19,65,DEACB,DBCAE,D
20,66,DACBE,DEBCA,D
21,67,ACDBE,AEBDC,A
22,68,EADBC,ECBDA,E
23,69,CBAED,CDEAB,C
24,70,DEABC,DCBAE,D
25,71,DBCAE,DEACB,D
26,72,CDAEB,CBEAD,C
27,73,CABED,CDEBA,C
28,74,ABDEC,ACEDB,A
29,75,DABCE,DECBA,D
30,76,EDCAB,EBACD,E
31,77,CEABD,CDBAE,C
32,78,BADEC,BCEDA,B
33,79,CDEAB,CBAED,C
34,80,CBADE,CEDAB,C
35,81,CBEDA,CADEB,C
36,82,BAECD,BDCEA,B
37,83,BCAED,BDEAC,B
38,84,EACBD,EDBCA,E
39,85,DEACB,DBCAE,D
40,86,ADCBE,AEBCD,A
41,87,BACED,BDECA,B
42,88,CABED,CDEBA,C
43,89,DACBE,DEBCA,D
44,90,EADBC,ECBDA,E
