,CO_POSICAO,ORDERED_OPTIONS_HARD_TO_EASY,ORDER_OPTIONS_EASY_TO_HARD,CORRECT_OPTION
0,46,BDCEA,BAECD,B
1,47,BCADE,BEDAC,B
2,48,BAEDC,BCDEA,B
3,49,ABDEC,ACEDB,A
4,50,ACDBE,AEBDC,A
5,51,EADBC,ECBDA,E
6,52,EABDC,ECDBA,E
7,53,CEADB,CBDAE,C
8,54,BACDE,BEDCA,B
9,55,BDACE,BECAD,B
10,56,ADBEC,ACEBD,A
11,57,BADEC,BCEDA,B
12,58,ECDBA,EABDC,E
13,59,ECABD,EDBAC,E
14,60,CBEDA,CADEB,C
15,61,EDCAB,EBACD,E
16,62,BACDE,BEDCA,B
17,63,AEBDC,ACDBE,A
18,64,ABDCE,AECDB,A
19,65,EACDB,EBDCA,E
20,66,ACBED,ADEBC,A
21,67,DECBA,DABCE,D
22,68,BACDE,BEDCA,B
23,69,CEABD,CDBAE,C
24,70,ABDEC,ACEDB,A
25,71,CAEBD,CDBEA,C
26,72,ACEDB,ABDEC,A
27,73,EACBD,EDBCA,E
28,74,ABCDE,AEDCB,A
29,75,BADEC,BCEDA,B
30,76,EDBAC,ECABD,E
31,77,DECBA,DABCE,D
32,78,DBECA,DACEB,D
33,79,EADCB,EBCDA,E
34,80,BDEAC,BCAED,B
35,81,BAECD,BDCEA,B
36,82,BDCEA,BAECD,B
37,83,ACBDE,AEDBC,A
38,84,DABCE,DECBA,D
39,85,BDAEC,BCEAD,B
40,86,CABDE,CEDBA,C
41,87,BECDA,BADCE,B
42,88,AEDBC,ACBDE,A
43,89,DEBCA,DACBE,D
44,90,CEBDA,CADBE,C
