,CO_POSICAO,ORDERED_OPTIONS_HARD_TO_EASY,ORDER_OPTIONS_EASY_TO_HARD,CORRECT_OPTION
0,1,ECADB,EBDAC,E
1,2,AECBD,ADBCE,A
2,3,ADECB,ABCED,A
3,4,CDEAB,CBAED,C
4,5,ACDEB,ABEDC,A
5,6,EDCAB,EBACD,E
6,7,DACEB,DBECA,D
7,8,CEABD,CDBAE,C
8,9,ADBEC,ACEBD,A
9,10,CAEDB,CBDEA,C
10,11,DBCEA,DAECB,D
11,12,CBAED,CDEAB,C
12,13,ABECD,ADCEB,A
13,14,DCEBA,DABEC,D
14,15,ACDBE,AEBDC,A
15,16,ECABD,EDBAC,E
16,17,BCADE,BEDAC,B
17,18,BECDA,BADCE,B
18,19,BEADC,BCDAE,B
19,20,DBAEC,DCEAB,D
20,21,EDACB,EBCAD,E
21,22,BCDAE,BEADC,B
22,23,BDEAC,BCAED,B
23,24,AECBD,ADBCE,A
24,25,CABED,CDEBA,C
25,26,ECBDA,EADBC,E
26,27,ABDCE,AECDB,A
27,28,DEBAC,DCABE,D
28,29,CEABD,CDBAE,C
29,30,EBDAC,ECADB,E
30,31,BADEC,BCEDA,B
31,32,DBCAE,DEACB,D
32,33,DECAB,DBACE,D
33,34,AEDBC,ACBDE,A
34,35,CAEDB,CBDEA,C
35,36,EBCDA,EADCB,E
36,37,EADBC,ECBDA,E
37,38,DBAEC,DCEAB,D
38,39,DBACE,DECAB,D
39,40,DCEAB,DBAEC,D
40,41,BDACE,BECAD,B
41,42,CADEB,CBEDA,C
42,43,DECBA,DABCE,D
43,44,BDCAE,BEACD,B
44,45,DBCAE,DEACB,D
