,CO_POSICAO,ORDERED_OPTIONS_HARD_TO_EASY,ORDER_OPTIONS_EASY_TO_HARD,CORRECT_OPTION
0,91,DCAEB,DBEAC,D
1,92,DBCAE,DEACB,D
2,93,EADBC,ECBDA,E
3,94,CDABE,CEBAD,C
4,95,DCAEB,DBEAC,D
5,96,BCADE,BEDAC,B
6,97,EADBC,ECBDA,E
7,98,ADBCE,AECBD,A
8,99,CBDEA,CAEDB,C
9,100,CDBEA,CAEBD,C
10,101,ABEDC,ACDEB,A
11,102,EACBD,EDBCA,E
12,103,BDACE,BECAD,B
13,104,EBCAD,EDACB,E
14,105,ACDBE,AEBDC,A
15,106,EBCDA,EADCB,E
16,107,BCAED,BDEAC,B
17,108,BCADE,BEDAC,B
18,109,CEDAB,CBADE,C
19,110,CABED,CDEBA,C
20,111,DBCAE,DEACB,D
21,112,DBEAC,DCAEB,D
22,113,CEDBA,CABDE,C
23,114,BCDEA,BAEDC,B
24,115,DECBA,DABCE,D
25,116,DECAB,DBACE,D
26,117,AEBDC,ACDBE,A
27,118,CEBAD,CDABE,C
28,119,BCDAE,BEADC,B
29,120,EDACB,EBCAD,E
30,121,ABECD,ADCEB,A
31,122,CDEBA,CABED,C
32,123,ECDBA,EABDC,E
33,124,ADCBE,AEBCD,A
34,125,BACDE,BEDCA,B
35,126,CDBEA,CAEBD,C
36,127,EABCD,EDCBA,E
37,128,AECBD,ADBCE,A
38,129,BDECA,BACED,B
39,130,EACBD,EDBCA,E
40,131,DBAEC,DCEAB,D
41,132,AEBCD,ADCBE,A
42,133,DBECA,DACEB,D
43,134,BCDEA,BAEDC,B
44,135,ABDCE,AECDB,A
