,CO_POSICAO,ORDERED_OPTIONS_HARD_TO_EASY,ORDER_OPTIONS_EASY_TO_HARD,CORRECT_OPTION
0,136,BCADE,BEDAC,B
1,137,EDBCA,EABCD,E
2,138,EBDCA,EACDB,E
3,139,DCBEA,DAEBC,D
4,140,AEDBC,ACBDE,A
5,141,ECDBA,EABDC,E
6,142,ADECB,ABCED,A
7,143,BECDA,BADCE,B
8,144,DCAEB,DBEAC,D
9,145,DCBAE,DEABC,D
10,146,CBADE,CEDAB,C
11,147,EDCBA,EABCD,E
12,148,BEDAC,BCADE,B
13,149,DABCE,DECBA,D
14,150,BACDE,BEDCA,B
15,151,ADCBE,AEBCD,A
16,152,ACDBE,ABEDC,A
17,153,AEDBC,ACBDE,A
18,154,ABCDE,AECDB,A
19,155,ABDCE,AECDB,A
20,156,CDEBA,CABED,C
21,157,XDEACB,XBCAED,X
22,158,CEDBA,CABDE,C
23,159,BCEDA,BADEC,B
24,160,CEADB,CBADE,C
25,161,CBDAE,CEADB,C
26,162,CBDAE,CEADB,C
27,163,BAECD,BDCEA,B
28,164,CBDEA,CAEDB,C
29,165,CBDAE,CEADB,C
30,166,DACBE,DEBCA,D
31,167,BECDA,BADCE,B
32,168,DCBAE,DEABC,D
33,169,EDCAB,EBACD,E
34,170,ECBDA,EADBC,E
35,171,CBDAE,CEADB,C
36,172,BDECA,BACED,B
37,173,DABCE,DECAB,D
38,174,CDBAE,CEABD,C
39,175,ABCDE,AEDCB,A
40,176,BCDAE,BEADC,B
41,177,EBACD,EDCAB,E
42,178,EDBCA,EACBD,E
43,179,CABDE,CEDBA,C
44,180,DABCE,DECBA,D
