,CO_POSICAO,ORDERED_OPTIONS_HARD_TO_EASY,ORDER_OPTIONS_EASY_TO_HARD,CORRECT_OPTION
0,1,AEDBC,ACBDE,A
1,2,ABDCE,AECDB,A
2,3,DCAEB,DBEAC,D
3,4,CAEBD,CDBEA,C
4,5,EDBAC,ECABD,E
5,6,CBADE,CEDAB,C
6,7,CABED,CDEBA,C
7,8,CBDAE,CEADB,C
8,9,DEBCA,DACBE,D
9,10,CABED,CDEBA,C
10,11,CDBAE,CEABD,C
11,12,ECABD,EDBAC,E
12,13,BADEC,BCEDA,B
13,14,ABCED,ADECB,A
14,15,CDEBA,CABED,C
15,16,BCDEA,BAEDC,B
16,17,BADCE,BECDA,B
17,18,ACBDE,AEDBC,A
18,19,ABEDC,ACDEB,A
19,20,AEBDC,ACDBE,A
20,21,EDCBA,EABCD,E
21,22,ECBDA,EADBC,E
22,23,CDEAB,CBAED,C
23,24,ADBCE,AECBD,A
24,25,BCDAE,BEADC,B
25,26,ACBDE,AEDBC,A
26,27,BCEDA,BADEC,B
27,28,EACDB,EBDCA,E
28,29,ECABD,EDBAC,E
29,30,CEDAB,CBADE,C
30,31,EACDB,EBDCA,E
31,32,BDAEC,BCEAD,B
32,33,EADBC,ECBDA,E
33,34,ECABD,EDBAC,E
34,35,DCEAB,DBAEC,D
35,36,CAEDB,CBDEA,C
36,37,ACEDB,ABDEC,A
37,38,DECBA,DABCE,D
38,39,BDAEC,BCEAD,B
39,40,DECAB,DBACE,D
40,41,BDCEA,BAECD,B
41,42,DBCAE,DEACB,D
42,43,BEACD,BDCAE,B
43,44,AECDB,ABDCE,A
44,45,AEBDC,ACDBE,A
