question,body,A,B,C,D,E,year,question_number,test,answer,language,answer_order
QUESTION 91,"Mega-spectacles with large numbers of fireworks being set off during the end-of-year celebrations are very common in Brazil. After burning, a large amount of particulate matter remains suspended in the air. Among the residues are compounds of sodium, potassium, barium, calcium, lead, antimony, chromium, as well as perchlorates and gases such as nitrogen dioxide and sulphur dioxide. These shows pose environmental risks because","the particulate matter generated is deposited on the surface of plant leaves, preventing cellular respiration processes.",sodium and potassium are mainly responsible for the toxicity of the burning product.,the waste produced by burning fireworks is still explosive.,the substances resulting from the burning of fireworks are flammable.,the products of burning contain heavy metals and toxic gases that result in atmospheric pollution.,2020,91,CN,E,english,"['E', 'C', 'B', 'A', 'D']"
QUESTION 92,"There are many myths about how to protect yourself from lightning: covering mirrors and not picking up knives, forks and other metal objects, for example. But in fact, if there is a lightning storm, some precautions are important, such as avoiding open environments. A good shelter for protection is the inside of a car, as long as it's not a convertible. What is the physical reason for the protection provided by cars, as mentioned in the text?",Grounding by the battery ground wire.,Lightning rod effect of the antenna.,Water running down the bodywork.,Electrical insulation for tires.,Shielding by the metal casing.,2020,92,CN,E,english,"['E', 'B', 'D', 'A', 'C']"
QUESTION 93,"Coins have aroused the interest of collectors, numismatists and investors for a long time. A 100 percent copper coin circulating in colonial Brazil can be very valuable. The high value generates the need to carry out tests to validate the coin's origin, as well as the veracity of its composition. Knowing that the density of metallic copper is close to 9 grams per cubic centimeter, an investor negotiates the acquisition of a lot of four coins, A, B, C and D, supposedly made of 100 percent copper and weighing 26 grams, 27 grams, 10 grams and 36 grams, respectively. In order to test the density of the coins, a procedure was carried out in which they were sequentially inserted into a beaker containing 5 milliliters of water, as shown in the diagram. Description of the diagram: Diagram showing five cylinders (beakers) containing water and coins. From left to right. The first cylinder contains only water, for which the vertical axis of the graph indicates a volume of water equal to 5 milliliters. In the second cylinder, coin A is immersed in water, so that the vertical axis shows a total volume of 7 milliliters. In the third cylinder, coin A and coin B are immersed in water, giving a total volume of 10 milliliters on the vertical axis of the graph. In the fourth cylinder, three coins are immersed: A, B and C, giving a total volume of 12 milliliters. In the fifth cylinder there are four coins immersed in water: A, B, C and D, totaling 16 milliliters. Based on the data obtained, the investor purchased the coins",B and C.,C and D.,B and D.,A and C.,A and B.,2020,93,CN,C,english,"['C', 'E', 'D', 'B', 'A']"
QUESTION 94,"The different types of coffee we consume don't always come from the same species of plant. The two most commonly used coffee species are Coffea canephora and Coffea arabica . The former is diploid (2 times n equals 22) and the latter is tetraploid (2 times n equals 44). It is believed that the tetraploid species arose from a natural cross between C. canephora and C. eugenioides , both diploids, millions of years ago. In fact, current genetic analyses of C . arabica chromosomes detect alleles from both origins. The chromosomal alteration that could explain the emergence of coffee from the C . arabica species is:",Duplication in one of the parental plants before crossing.,Deletions during the first zygotic mitoses in the descendant plant C . arabica .,Uneven separation in the gametic meiosis of one of the parental plants.,Failure to separate during gametic meiosis in both parental plants.,Inversion during gametic meiosis in both parental plants.,2020,94,CN,anulada,english,"['A', 'E', 'C', 'D', 'B']"
QUESTION 95,"Refrigerator manuals recommend that the equipment should not be installed near heat sources, such as stoves and heaters, or in a place where there is direct sunlight. Installation in an unsuitable location impairs the operation of the refrigerator and increases energy consumption. Failure to comply with this recommendation results in increased energy consumption because",the heat flow by conduction in the condenser is considerably reduced.,the heat flow causes a significant rise in temperature inside the refrigerator.,the liquefaction of the refrigerant in the condenser requires more work from the compressor.,the temperature of the refrigerant in the condenser decreases more quickly.,convection currents in the vicinity of the condenser are more difficult to detect.,2020,95,CN,C,english,"['A', 'C', 'D', 'B', 'E']"
QUESTION 96,"During a soccer match, the players noticed that the ball was deflated. To calibrate the ball, one player used a manual pneumatic pump, consisting of a piston that slides inside a cylinder made of plastic. In the process of calibrating the ball, the player noticed that the end of the pump in contact with his hand, which is closest to the pump nozzle, became very hot. The significant heating noticed by the player is due to",heat transfer by conduction from the player's hands to the pump.,successive friction between the piston and the internal walls of the pump.,expansion of the air at the outlet at the bottom of the pump with each compression stroke.,turbulence promoted in the air portions confined above and below the piston.,increase in the internal energy of the air contained in the pump with each compression.,2020,96,CN,E,english,"['B', 'A', 'E', 'D', 'C']"
QUESTION 97,"The 324-meter-high Eiffel Tower, made of iron trusses, weighed 7,300 tons when it was finished being built in 1889. An architect decides to build a prototype of this tower on a scale of 1 to 100, using the same materials (each linear dimension on a scale of 1 to 100 as the real monument). Consider that the real tower has a mass M1 and exerts a pressure P1 on the foundation on which it was built. The model built by the architect will have a mass of M2 and will exert a pressure of P2. How does the pressure exerted by the tower compare with the pressure exerted by the prototype? In other words, what is the ratio between the pressures (P1 divided by P2)?",10 to the power of two .,10 to the power of four .,10 to the power of six .,10 to the power of one .,10 to the power of zero .,2020,97,CN,A,english,"['C', 'D', 'E', 'B', 'A']"
QUESTION 98,"An electric shower has been improperly installed, so that when it is turned on with the selector switch in the winter position, the water temperature is low. The shower is connected to a 50 amp circuit breaker and the measured current is around 30 amps. The power of the shower, as specified, is 4,400 watts at 110 volts. To heat the water to the maximum temperature, you can",changing its electrical resistance to one with greater resistivity.,decrease the length of the shower's electrical resistance.,replace the wire supplying the shower with a smaller diameter one.,install a resistor in series with the shower resistor.,connect the shower to a lower amperage circuit breaker.,2020,98,CN,B,english,"['E', 'A', 'B', 'C', 'D']"
QUESTION 99,"Green chemistry is a branch of chemistry that advocates the development of efficient processes that transform most of the reagent into product more quickly and selectively, that use few reagents, that produce only the desired product, avoiding the formation of co-products, and that use environmentally friendly solvents. In this way, industries can avoid problems related to environmental pollution and the waste of water and energy. The profile of a process that follows all the principles of this branch of chemistry can be represented by:",Reactants A plus B plus C form product D. The reaction takes place at high pressures.,"The reactants 3 A plus 2 B form the product 2 C, which is transformed into the products 3 D plus 2 E. The reaction takes place under atmospheric pressure.",Reactants A plus B form products C plus D. The reaction is strongly endothermic.,Reactants A plus 0.5 B form product C. The reaction takes place using a catalyst containing a non-toxic metal.,Reactants A plus 3 B form product C. The reaction takes place using an organic solvent.,2020,99,CN,D,english,"['A', 'D', 'B', 'E', 'C']"
QUESTION 100,"The tuning fork is a fork-shaped metal instrument used to tune musical instruments. To do this, the tuning fork is made to vibrate and the sound of a certain pitch emitted by it is compared with the sound emitted by the instrument. The adjustment takes place until the instrument emits a sound with the same characteristics as the tuning fork. Which sound characteristic should be adjusted?",Intensity.,Propagation speed.,Amplitude.,Bell.,Frequency.,2020,100,CN,E,english,"['C', 'E', 'A', 'D', 'B']"
