question,body,A,B,C,D,E,year,question_number,test,answer,language,answer_order
QUESTION 136,"Life expectancy at birth is the average number of years an individual tends to live from birth, based on population data. In Brazil, this figure has been increasing considerably, as shown in the graph. Image description: The graph entitled Life expectancy at birth, where the horizontal axis refers to the years 2008 to 2013 and the vertical axis refers to ages 72 to 75, is made up of ascending line segments. The graph starts at point (2008; 72.78), ascends to (2009; 73.09), ascends to (2010; 73.4), ascends to (2011; 73.67), ascends to (2012; 73.95) and ascends to the final point (2013; 74.23). It can be seen that life expectancy at birth in 2012 was exactly the average of that recorded in 2011 and 2013. Suppose that this also happened with life expectancy at birth in 2013, in relation to life expectancy in 2012 and 2014. If this assumption is confirmed, life expectancy at birth in Brazil in 2014 will have been, in years, equal to","74,51.","78,49.","74,23.","75,07.","75,23.",2022,136,MT,A,english,"['B', 'E', 'A', 'C', 'D']"
QUESTION 137,"A light-minute is a unit of distance measurement that corresponds to the distance traveled by light during 1 minute. Another unit of measurement is the parsec, described below. Consider that the Earth's orbit is circular and that the time it takes for light from the Sun to reach the Earth is 8 minutes. Suppose that the Earth (T), the Sun (S) and a star (E) form a right-angled triangle as in the following figure. If the angle T, E, S measures 1 second (i.e. 1 degree divided by 3,600) we say that the distance from the star E to the sun S is 1 parsec. Image description: The figure shows a right-angled triangle with vertices T, E and S, with a right angle at S. Cathet ST is the smallest. There is a dashed circle, representing an orbit, centered on S, with radius ST and with T belonging to the circle. Use 5 times, open parenthesis, 10 to the power of minus 6, close parenthesis, as an approximate value for tangent of, open parenthesis, 1 degree divided by 3 600, close parenthesis. Approximately how many light-minutes is 10 parsec?","1.6 times, open parenthesis, 10 to the power of 6, close parenthesis","1.6 times, open parenthesis, 10 to the power of 7, close parenthesis","8 times, open parenthesis , 10 to the power of 5, close parenthesis","4 times, open parenthesis, 10 to the minus 5, close parenthesis","4 times, open parenthesis, 10 to the minus 4, close parenthesis",2022,137,MT,B,english,"['D', 'E', 'C', 'A', 'B']"
QUESTION 138,"Upon hearing the news that a recently released movie grossed 1.35 billion reais at the box office in its first month of release, a student correctly wrote down the number that represents this amount, with all its digits. The number written by the student was","1 350 000,00.","135 000 000,00.","1 350 000 000,00.","135 000,00.","13 500 000,00.",2022,138,MT,C,english,"['B', 'D', 'E', 'A', 'C']"
QUESTÃO 139,"The government of a state wants to carry out an infrastructure project to help integrate and transport the agricultural production of two cities. The project consists of directly linking cities A and B with Highway 003, by building Highways 001 and 002. The two highways will be built in a straight line and should connect to Highway 003 at the same point, as shown in the sketch in the figure, which also indicates the positions of towns A and B, considering the x-axis positioned on Highway 003, and five suggested locations for the connection point between the three highways. Image description: The graph shows a Cartesian axis system in which both axes have the kilometer as the unit of measurement. The x-axis is on Highway 003. City A is located at coordinate point (20; 40), and city B is located at coordinate point (50; 20). There are five points marked on the x-axis, which indicate five suggestions for the connection point between the three highways. The suggested routes for Highway 001 are represented by dashed line segments, and for Highway 002 they are represented by filled line segments. Coordinates of the connection points: Point 1: (20; 0); Point 2: (30; 0); Point 3: (35; 0); Point 4: (40; 0); Point 5: (50; 0).  It is intended that the distance traveled between the two cities, via Highways 001 and 002, passing through the connection point, be as short as possible. Given the requirements of the project, which of the suggested locations should be chosen for the connection point?",4,2,1,5,3,2022,139,MT,A,english,"['D', 'B', 'A', 'E', 'C']"
QUESTION 140,"A person needs to hire a worker to do a job on their house. To do this, she posted an ad on a social network. Five people replied, giving prices per hour worked, daily transportation costs and the time needed to complete the job, as shown in the table. Image description: A table showing the Worker's information in relation to the price per hour in reals, the price of transportation in reals and the time to completion in hours, shows the following data: Worker 1: Price per hour, 120 reals; price of transportation, zero reals; time to completion, 8 hours; Worker 2: Price per hour, 180 reals; price of transportation, zero reals; time to completion, 6 hours; Worker 3: Price per hour, 170 reals; price of transportation, 20 reals; time to completion, 6 hours; Worker 4: Price per hour, 110 reals; price of transportation, 10 reals; time to completion, 9 hours; Worker 5: Price per hour, 110 reals; price of transportation, zero reals; time to completion, 10 hours.  If the person wants to spend as little as possible on this contract, they will hire the worker",5.,3.,4.,2.,1.,2022,140,MT,E,english,"['E', 'C', 'D', 'B', 'A']"
QUESTION 141,"A cook makes special sweets to order. Using a basic dough recipe, she prepares a portion, with which she produces 50 solid spherical sweets, 2 centimeters in diameter. A customer orders 150 of these sweets, but asks for each one to be spherical and 4 centimeters in diameter. The cook wants to prepare the exact number of portions of the basic dough recipe needed to produce the sweets for this order. How many portions of the basic dough recipe should she prepare to serve this customer?",2,3,12,24,6,2022,141,MT,D,english,"['A', 'B', 'D', 'E', 'C']"
QUESTION 142,"In the final five games of last season, with an average of 18 points per game, one player was voted the best in the basketball league. This season, five players have the chance to match or better that average. The table shows the scores of these five players in the first four games of this year's playoffs. Image description: The board, which relates players to the number of points scored per game, shows the following data: player 1: 12 in game 1; 25 in game 2; 20 in game 3; 20 in game 4; player 2: 12 in game 1; 12 in game 2; 27 in game 3; 20 in game 4; player 3: 14 in game 1; 14 in game 2; 17 in game 3; 26 in game 4; player 4: 15 in game 1; 18 in game 2; 21 in game 3; 21 in game 4; player 5: 22 in game 1; 15 in game 2; 23 in game 3; 15 in game 4.   The fifth and final game will be played to decide the winning team and the best player of the season. The player who needs to score the fewest points in the fifth game to match the average points of last season's best player is",1,5,2,3,4,2022,142,MT,A,english,"['A', 'E', 'B', 'C', 'D']"
QUESTION 143,"A couple is planning to build a swimming pool on their farm in the shape of a parallelepiped with a capacity of 90,000 liters of water. The couple hired a construction company which presented five designs with different combinations of internal depth, width and length. The pool to be built will have the same ceramic tiles lining the walls and bottom, and the couple will choose the design that requires the least amount of lining. The internal dimensions of depth, width and length, respectively, for each of the projects are: - project 1: 1.8 meters, 2.0 meters and 25.0 meters ; - project 2: 2.0 meters, 5.0 meters and 9.0 meters ; - project 3: 1.0 meter, 6.0 meters and 15.0 meters ; - project 4: 1.5 meters, 15.0 meters and 4.0 meters ; - project 5: 2.5 meters, 3.0 meters and 12.0 meters . The project the couple will have to choose is",1,5,2,4,3,2022,143,MT,C,english,"['A', 'E', 'B', 'D', 'C']"
QUESTÃO 144,"A higher education institution offered places in a selection process for access to its courses. At the end of registration, the ratio of applicants to places on each of the courses on offer was published. This data is shown in the table. Image description: A table listing the courses with the number of places on offer and the number of applicants per place shows the following data: Administration: 30 places offered and 6 applicants per place; Accounting: 40 places offered and 6 applicants per place; Electrical Engineering: 50 places offered and 7 applicants per place; History: 30 places offered and 8 applicants per place; Literature: 25 places offered and 4 applicants per place; Pedagogy: 25 places offered and 5 applicants per place.   What was the total number of candidates enrolled in this selection process?",7 200,200,1 200,400,1 235,2022,144,MT,E,english,"['E', 'A', 'C', 'B', 'D']"
QUESTION 145,"Metal parts from aircraft abandoned at airports will be recycled. One of these pieces is solid and cylindrical in shape, with a base radius of 4 centimeters and a height of 50 centimeters. It will be melted down and the resulting volume of metal will be used to make solid balls with a diameter of 1 centimeter, which will be used to make bearings. To estimate the number of balls that can be produced from each of the cylindrical pieces, it is assumed that no material is lost during the melting process. How many of these balls can be obtained from each cylindrical part?",6 400,1 200,4 800,2 400,800,2022,145,MT,C,english,"['E', 'B', 'D', 'C', 'A']"
