question,body,A,B,C,D,E,year,question_number,test,answer,language,answer_order
QUESTION 91,"The protozoan Trypanosoma cruzi , which causes Chagas disease, could be medicine's new weapon against cancer. Brazilian researchers have managed to create a vaccine against the disease using a variation of the protozoan that is incapable of triggering the disease (non-pathogenic). To do this, they made a genetic modification creating a T. cruzi capable of also producing molecules manufactured by tumor cells. When the body begins to fight the protozoan, it also comes into contact with the tumor molecule, which is also seen by the immune system as an indicator of protozoan cells. Once the defenses have been induced, they start to destroy all the cells with the tumor molecule, as if they were only fighting the protozoan. What is the mechanism used in the experiment to trick the defense cells into attacking the tumor?",Hypersensitivity.,Triggering of an anti-inflammatory process.,Autoimmunity.,Activation of the innate response.,Presentation of specific antigen.,2022,91,CN,E,english,"['B', 'E', 'A', 'C', 'D']"
QUESTION 92,"The sound signal coming from the fall of a large block of ice from a glacier is detected by two devices located on a boat, detector A being immersed in water and detector B on the bow of the boat. It is known that the speed of sound in water is 1,540 meters per second and in air it is 340 meters per second. Description of illustration: A boat with detector A, which is immersed in water and suspended by a cable attached to the boat, and detector B, positioned over the front of the boat. Detectors A and B are along the same vertical line, which is perpendicular to the line indicating the distance L between the boat and the ice floe. The graphs show, in real time, the sound signal detected by the two devices, which were switched on simultaneously at an instant before the ice floe fell. By comparing corresponding points of this signal on each device, it is possible to obtain information about the sound wave. Description of Graph A: The horizontal axis indicates the time, in seconds, from 208 to 244. The vertical axis indicates the intensity of the signal, with no values. The signal has an oscillating shape with 5 peaks and 5 valleys in the time interval between 208 and 226 seconds. The third valley corresponds to 220 seconds. Description of Graph B: The horizontal axis indicates the time, in seconds, from 208 to 244. The vertical axis indicates the intensity of the signal, without values. The signal has an oscillating shape with 5 peaks and 5 valleys in the time interval between 220 and 238 seconds. The third valley corresponds to 232 seconds. Signal Signal The distance L, in meters, between the boat and the glacier is closest to",5 240.,100.,14 400.,339 000.,78 900.,2022,92,CN,A,english,"['D', 'E', 'C', 'A', 'B']"
QUESTION 93,"Brazilian inventor of, open quotes, bottled light, close quotes, has idea spread around the world In 2002, a mechanic from the city of Uberaba (MG) in Minas Gerais came up with an idea to save electricity consumption and light up his house on a sunny day. To do this, he used PET plastic bottles filled with water and chlorine, as shown in the pictures. Each bottle was fixed to the roof of his house in a hole with a diameter equal to that of the bottle, much larger than the wavelength of the light. In the last two years, his idea has reached many parts of the world and he hopes to reach the milestone of 1 million homes using the , open quote, bottled light, close quote. Image description: Two photographs arranged side by side. The one on the left shows a PET bottle with water emitting light. The one on the right shows several bottles fixed to the ceiling illuminating a closed room where a man is sitting. What optical phenomenon explains the operation of bottled light?",Absorption.,Reflection.,Refraction.,Diffraction.,Polarization.,2022,93,CN,C,english,"['B', 'D', 'E', 'A', 'C']"
QUESTION 94,"Organic chemistry In general, the word aromatic invokes pleasant associations, such as the smell of fresh coffee or a cinnamon bun. Similar associations occurred in the past in the history of organic chemistry, when so-called aromatic compounds had a pleasant smell and were isolated from natural oils. As the structures of these compounds were elucidated, it was discovered that several of them contained a specific structural unit. Aromatic compounds containing this structural unit became part of a large family, much more on the basis of their electronic structures than their smells, such as the following substances found in vegetable oils. Description of chemical structures: Benzaldehyde (in almond oil): Aromatic ring with C group double bond O, single bond H. Methyl salicylate (in wintergreen oil): Aromatic ring with two groups: First group: C double bond O, single bond O, single bond CH 3 ; Second group: single bond OH. Anethole (in anise oil): Aromatic ring with two groups: First group: O single bond CH 3; Second group: C double bond C, single bond CH 3. Vanillin (in vanilla oil): Aromatic ring with three groups: First group: C double bond O, single bond H; Second group: O single bond CH 3 ; Third group: single bond OH. Eugenol (in clove oil): Aromatic ring with three groups: First group: CH2 single bond CH, double bond CH2 ; Second group: O single bond CH 3 ; Third group: single bond OH. Cinnamaldehyde (in cinnamon oil): Aromatic ring with the group CH double bond CH, single bond C, double bond O single bond H. The structural characteristic of this family of compounds is the presence of",oxygen atoms.,unsaturations.,branches.,asymmetric carbons.,anel benzênico.,2022,94,CN,E,english,"['D', 'B', 'A', 'E', 'C']"
QUESTION 95,"Study confirms effectiveness of the Wolbachia Method for dengue The results of a randomized clinical trial in Indonesia showed a 77 percent reduction in dengue cases in areas that received Aedes aegypti mosquitoes infected with the Wolbachia bacteria. This is the same technique used in Brazil by the Wolbachia Method, an initiative run by the Oswaldo Cruz Foundation - Fiocruz. This bacterium induces a reduction in the mosquito's viral load and, consequently, the number of dengue cases in the area. As this bacterium is an intracellular organism and the virus also needs to enter cells to reproduce, both will need common resources. This technology used to combat dengue consists of",insertion of genetic material from the virus into the bacteria.,alteration of the mosquito's genotype by the bacterium.,competition between the virus and the bacteria in the host.,sterilization of infected mosquitoes.,predation of the virus by the bacteria.,2022,95,CN,C,english,"['E', 'C', 'D', 'B', 'A']"
QUESTION 96,"Raw water collected from springs has a high level of suspended solids, which makes it look cloudy. To obtain clear, drinkable water, it must undergo a purification process in a water treatment plant. In this process, the main stages are, in this order: coagulation, decantation, filtration, disinfection and fluoridation. Which stage removes most of these solids?",Coagulation.,Decanting.,Disinfection.,Fluoridation.,Filtration.,2022,96,CN,B,english,"['A', 'B', 'D', 'E', 'C']"
QUESTION 97,"Life: the science of biology Bears, because they are not truly hibernating, wake up due to the presence of thermogenin, a mitochondrial protein that prevents protons from reaching ATP synthase, generating heat. This heat is important for warming up the organism, allowing it to wake up. In which stage of cellular energy metabolism does thermogenin interfere?",Glycolysis.,Oxidative phosphorylation.,Lactic fermentation.,Citric acid cycle.,Pyruvate oxidation.,2022,97,CN,B,english,"['A', 'E', 'B', 'C', 'D']"
QUESTION 98,"In order to classify the best routes in a traffic app, a researcher proposes a model based on electrical circuits. In this model, the current represents the number of cars passing a point on the road in the interval of 1 second. The potential difference (p.d.d.) corresponds to the amount of energy per car needed to move 1 meter. Similar to Ohm's law, each lane is classified by its resistance, with the one with the highest resistance being the most congested. The application shows the routes in ascending order, i.e. from the route with the least to the route with the most resistance. As a test for the system, three possible routes are used for a journey from A to B, with the d.d.p. and current values as shown in the table. Table description: Data in three columns. The first column indicates the routes. The second column shows the d.p.d., with the unit in joules per car per meter. The third column indicates the current, with unit car per second. Route 1: ddp 510 and current 4. Route 2: ddp 608 and current 4. Route 3: ddp 575 and current 3. In this test, the order of the routes indicated by the application will be:","1, 2, 3.","3, 2, 1.","1, 3, 2.","3, 1, 2.","2, 1, 3.",2022,98,CN,A,english,"['A', 'E', 'B', 'D', 'C']"
QUESTION 99,"The diagram represents the nitrogen cycle: Image description: Diagram with decomposers, a rabbit and two plants (focusing on their aerial and underground parts). The plant has two arrows, one for the rabbit and the other for the decomposers (aerobic and anaerobic fungi and bacteria). An arrow also goes from the rabbit to these same decomposers. The decomposers have an arrow for ammonia (NH3) and ammonium (positively charged NH4). Nitrifying bacteria nitrify ammonia and ammonium with an arrow that goes to nitrites (negatively charged NO2). Nitrifying bacteria transform nitrites into nitrates (negatively charged NO3). The nitrates have two arrows, one indicating assimilation by plants and the other indicating denitrifying bacteria. From the denitrifying bacteria, the arrow continues into the air and returns to the cycle for N 2-fixing bacteria in the nodules of legume roots. From these same bacteria, an arrow indicates that they will carry out ammonification in the soil, following the arrow to ammonia (NH3) and ammonium (positively charged NH4), closing the cycle.  Acid rain interferes with the nitrogen cycle mainly by lowering the pH of the soil and atmosphere, altering the concentration of the compounds present in this cycle. In a soil with a lower pH, the formation of:",NO3 negatively charged,N2,NH4 positively charged,NH3,NO2 negatively charged,2022,99,CN,C,english,"['E', 'A', 'C', 'B', 'D']"
QUESTÃO 100,"Two cellular structures are involved in the process by which the eye captures light to form images: the cones and the rods. The cones are sensitive to the energy of the photons and the rods to the number of incident photons. The energy of the photons that make up light rays is associated with their frequency, and their intensity with the number of incident photons. An animal with more sensitive rods will",make a small distinction between colors in bright environments.,perceive colors outside the visible spectrum.,need more light to see.,see well in poorly lit environments.,color blindness.,2022,100,CN,D,english,"['E', 'B', 'D', 'C', 'A']"
