question,body,A,B,C,D,E,year,question_number,test,answer,language,answer_order
QUESTION 91,"Lysosomal acid lipase deficiency is a hereditary disease associated with a gene on chromosome 10. Patients' parents may not know that they are carriers of the disease genes until the birth of their first affected child. When both parents are carriers, there is a one in four chance that their baby could be born with the disease. This is a hereditary disease",polyallelic.,dominant.,recessive.,polygenic.,codominant.,2021,91,CN,C,english,"['E', 'B', 'A', 'D', 'C']"
QUESTION 92,"The table lists some of the electronic devices that are present in everyday life, as well as the range of electromotive force required for their operation. Image description: Chart with five electronic devices and their respective electromotive force ranges, in volts. Device 1 - wall clock: 1.2 to 1.5. Device 2 - cell phone: 3.5 to 3.8. Device 3 - digital camera: 7.5 to 7.8. Device 4 - remote control trolley: 10.5 to 10.9. Device 5 - notebook / laptop: 19.5 to 20.0. Consider that a battery is built by connecting three lithium-iodine cells in series, under standard conditions, according to the reduction semi-equations shown. Image description: First semiequation: iodine plus 2 electrons forms 2 negatively charged iodines, with a reduction potential equal to plus 0.54 volts. Second semiequation: positively charged lithium plus 1 electron forms lithium, with a reduction potential equal to minus 3.05 volts. Which electronic device is this battery suitable for?", 5, 1, 4, 3, 2,2021,92,CN,C,english,"['E', 'A', 'D', 'C', 'B']"
QUESTION 93,"The Gay Lussac alcoholmeter is an instrument designed to measure the alcohol content, in volume percentage (v/v), of solutions of water and alcohol in the range of O degree GL to 100 degrees GL, with divisions of 0.1 degree GL. The design of the alcoholmeter is based on Archimedes' principle of buoyancy, similar to how a densimeter works. The instrument's scale is set at 20 degrees Celsius, and the measurement needs to be corrected if the temperature of the solution is not at the set temperature. Part of the correction table for an alcoholmeter is shown, with the temperature. Image description: Table showing alcohol concentration values in degrees GL as a function of temperature for the range 20 to 25 degrees Celsius. In the first row: 35 degrees GL at 20 degrees Celsius; 34.6 degrees GL at 21 degrees Celsius; 34.2 degrees GL at 22 degrees Celsius; 33.8 degrees GL at 23 degrees Celsius; 33.4 degrees GL at 24 degrees Celsius; 33.0 degrees GL at 25 degrees Celsius. In the second line: 36 degrees GL at 20 degrees Celsius; 35.6 degrees GL at 21 degrees Celsius; 35.2 degrees GL at 22 degrees Celsius; 34.8 degrees GL at 23 degrees Celsius; 34.4 degrees GL at 24 degrees Celsius; 34.0 degrees GL at 25 degrees Celsius. It is necessary to correct the instrument's measurement, as an increase in temperature promotes", increased alcohol concentration during the measurement., increased density of water and alcohol., change in the volume of materials due to expansion., change in the chemical properties of the alcohol and water mixture., increased water dissociation.,2021,93,CN,C,english,"['D', 'B', 'C', 'E', 'A']"
QUESTION 94,"Curing is a centuries-old method used to preserve food. One of the first methods used in history was salting, in which the food is rubbed with salt or immersed in a saturated salt solution. This method aims to preserve the food by preventing the proliferation of decomposer organisms. Which of the following methods uses the same preservation principle""?  ",Addition of sugar in the manufacture of jams and jellies.,Pasteurization of liquids.,Meat freezing.,Use of vinegar in the manufacture of canned vegetables.,Vacuum packaging of solid foods.,2021,94,CN,A,english,"['D', 'B', 'A', 'E', 'C']"
QUESTION 95,"A study shows that the extinction of giant sloths, whose diet was based on fruit and seeds, has had a considerable impact on the vegetation of the Brazilian Pantanal. Although the flora has not disappeared, it has become less abundant than in the past and occupies more restricted areas. THE OUVON enem2021 The event described with the flora occurred due to the reduction", the size of the plants., of seed dissemination factors.,flower production., of the habitats available to plants., the number of seeds per fruit.,2021,95,CN,B,english,"['B', 'C', 'A', 'E', 'D']"
QUESTION 96,"Electric cars are getting cheaper all the time, but government bodies and the industry are concerned about the time it takes to recharge the batteries, which is much slower than the time it takes to fill up the fuel tank. Therefore, individual transport users need to become aware of the environmental gains of this change and plan their journeys in advance, thinking about the breaks needed for recharging. After a journey of 110 kilometers, a driver wants to recharge the batteries of his electric car, which has an average performance of 5.0 kilometers per kilowatt hour, using an ideal charger that operates at a voltage of 220 volts and is powered by a current of 20 amperes. How many hours does it take to recharge the energy used on this journey?","0,005"," 2,5"," 8,0"," 0,125"," 5,0",2021,96,CN,E,english,"['A', 'C', 'E', 'B', 'D']"
QUESTION 97,"In angiosperms, in addition to the fertilization of the oosphere, there is a second fertilization that results in a triploid tissue. This second fertilization was important in evolutionary terms, as it enabled the formation of a triploid tissue.", protection for the megagametophyte.,seed coating., nutrition for the fruit., reserve for the embryo., vascularization for the young plant.,2021,97,CN,D,english,"['D', 'C', 'A', 'B', 'E']"
QUESTION 98,"In order to add aroma and flavor to various foods, the food industry uses flavorings. In general, these substances are esters, such as those shown in the table. Image description: Table with the names, formulas and flavors of some substances, respectively. Methyl benzoate; CLH.CO,CH,; kiwi. Isoamyl acetate; CH.CO, (CH,) 2, CH (CH,) 2; banana. Benzyl acetate; CH,CO,CH.C,H,; peach. Isobutyl propanoate, CH,CH,CO,CH,CH (CH,) 2; rum. Methyl anthranilate; CH NH,CO,CH,; grape. The aroma of the flavoring derived from ethanoic acid and which has a saturated carbon chain is",uva.,peach.,rum.,banana.,kiwi.,2021,98,CN,D,english,"['E', 'C', 'D', 'B', 'A']"
QUESTION 99,"Some thermoelectric plants convert the thermal energy generated by the combustion of natural gas into electrical energy. Their components must be highly resistant to oxidation, mechanical traction and high temperatures, because the higher the operating temperature, the more efficient the energy conversion. These requirements are met by nickel alloys that can withstand around 1150 degrees Celsius. Research into better alloys highlights niobium, a chemical element with atomic number 41. In its pure form, niobium is a soft, ductile metal with a shiny gray appearance that slowly turns bluish when exposed to air. Niobium melts at 2468 degrees Celsius, boils at 4744 degrees Celsius and conducts electricity and heat well, but to a much lesser degree than silver and copper. The property of niobium that makes it a promising candidate for use in future thermoelectric power plants is that",maciez.,melting temperature.,resistance to oxidation.,boiling temperature.,thermal conductivity.,2021,99,CN,B,english,"['A', 'B', 'D', 'E', 'C']"
QUESTION 100,"Between 2014 and 2016, the central and western regions of Africa suffered a serious epidemic of hemorrhagic fever caused by the Ebola virus, which manifests itself within 21 days of infection and whose lethality rate (patients who die) can reach 90 percent. In tropical and subtropical regions, another virus can also cause hemorrhagic fever: the dengue virus, which, although it has a shorter incubation period (up to 10 days), has a lethality rate of less than 1 percent. According to the information in the text and applying principles of biological evolution to pathogen-host relationships, which of the two viruses has been infecting humans for longer?"," Dengue, as the shorter incubation period reflects a longer duration of the pathogen-host coevolution process."," Ebola, because the longer incubation period reflects the longer duration of the pathogen-host coevolution process.","Ebola, whose high lethality indicates the greater efficiency of the virus in parasitizing its hosts, established throughout its evolution.","Dengue, whose low lethality indicates greater efficiency of the virus in parasitizing its hosts, established throughout the pathogen-host coevolution.","Ebola, whose epidemic outbreaks are concentrated on the African continent, recognized as the cradle of the evolutionary origin of human beings.",2021,100,CN,D,english,"['B', 'A', 'C', 'E', 'D']"
QUESTION 101,"The image shows the stages in the operation of an individual residential sewage treatment plant. enemoZ1 Image description: Figure entitled How the individual plant works, with stages 1 to 6. Stage 1: Grease trap - retains the waste from the sink and kitchen, releasing water almost free of grease. Stage 2: Passage box - receives what comes from the bathrooms and laundry, collecting all the residential sewage. Stage 3: Septic tank - here the sewage has to stand for a relatively longer period than in the other stages. Stage 4: Manhole - facilitates the distribution of effluent. Stage 5: Biological filter - here, colonies of bacteria consume the organic matter. Stage 6: Cistern - here, as the final stage, the system will be treated with chlorine.  At which stage is the sludge to be separated from the residential sewage decanted?",1,3,2,6,5,2021,101,CN,B,english,"['A', 'C', 'B', 'E', 'D']"
QUESTION 102,"Planting by cuttings is a method of plant propagation in which parts of a specimen are placed in the ground to produce new generations. In floriculture, it is common to use the stems of rose bushes for cuttings, as the plant propagates positively due to the application of auxins to the lower part of the stem. The use of auxins in the rose cuttings method contributes to",flowering of the plant.,production of lateral buds.,production of energy compounds., formation of adventitious roots., formation of larger leaves.,2021,102,CN,D,english,"['A', 'B', 'E', 'D', 'C']"
QUESTION 103,"Acid rain causes corrosion of monuments and buildings, kills animal and plant species in aquatic and terrestrial environments and makes the soil unsuitable for agriculture. It appears in the atmosphere of polluted regions, mainly through the production of sulphuric acid by the combination of sulphur trioxide gas with the water present in clouds. The precursor gas of this acid compound is mainly produced by which human activity?", Burning fossil fuels for urban mobility., Burning tobacco for human consumption.,Burning wild areas to turn them into pastures., Production of fertilizers for agricultural use.,Flooding forest areas to build dams.,2021,103,CN,A,english,"['C', 'E', 'A', 'D', 'B']"
