question,body,A,B,C,D,E,year,question_number,test,answer,language,answer_order
QUESTION 46,"The expansion of cities and the formation of urban agglomerations in Brazil were marked by industrial production and the consolidation of metropolises as the sites of their development. In the second half of the 20th century, Brazil's metropolises spread over areas of continuous occupation, forming dense urbanized regions. The result of the geographical process described was",inhibition of inter-municipal consortia.,growth in outlying areas.,valuing the local scale.,predominance of state planning.,densification of rail transport.,2020,46,CH,B,english,"['E', 'B', 'A', 'D', 'C']"
QUESTION 47,"Image description: Representation of the grazing area and cotton and cereal cultivation in the agreste (1963). The figure illustrates the months of the year on three axes referring to bean, maize and cotton crops, indicating for each crop the conventions of grazing, planting and clearing, growth, bean harvest, green maize harvest, dry maize harvest and cotton harvest, presenting the following data: Grazing takes place in January and February in the bean crop, in January and February in the corn crop and in January and February in the cotton crop. Planting and clearing takes place in March and April for beans, March and April for corn and May for cotton. Growing takes place in May for beans, in May for corn and from June to October for cotton. The bean harvest takes place in June and July, the green corn harvest takes place in June and July, the dry corn harvest takes place from August to October and the cotton harvest takes place in November and December. The production dynamics shown in the image have as their central strategy the",intensification of livestock farming.,separation by soil type.,the time of nature.,prioritizing modern technology.,seasonal harvest exports.,2020,47,CH,C,english,"['E', 'A', 'D', 'C', 'B']"
QUESTION 48,"The world's demand for food production is steadily increasing at very high rates. Currently, in most countries, continents and regions, the water consumed in agriculture accounts for around 70 percent of total availability. In order to reduce the pressure on this natural resource, the expansion of agriculture requires improvements in",efficiency of irrigation techniques.,water runoff from the land.,artesian well maintenance.,speed of harvesting machines.,chemical soil fertilization.,2020,48,CH,A,english,"['D', 'B', 'C', 'E', 'A']"
QUESTION 49,"Hegemonies and emancipations in the 21st century, Ana Esther Ceceña In the case of the US Department of Defense, the emphasis is on outlining a general strategy for dismantling both real and potential enemies, as part of a preventive approach that assumes that the slightest dissent is a sign of danger and future war. We must have the capacity to respond to a conventional war as well as to confront a diffuse enemy, looking simultaneously at all the geographical areas of the planet. This is undoubtedly the most comprehensive strategy that has been developed to date. Taking the text as a parameter, what contemporary trend is driving the formulation of more comprehensive strategies by the American state?",Expansion of the democratic model.,Propagation of organizations in networks.,Eradicating conflicts in territories.,Projection of world diplomacy.,Elimination of regional differences.,2020,49,CH,B,english,"['D', 'B', 'A', 'E', 'C']"
QUESTION 50,"Planning stopped controlling urban growth and started encouraging it by any means possible and imaginable. Cities, the new message sounded loud and clear, were machines for producing wealth; the first and foremost objective of planning should be to oil the machine. The urban planning model discussed in the text is marked by",use of sustainable practices.,building social well-being.,the primacy of popular management.,expanding business participation.,sovereignty of government power.,2020,50,CH,D,english,"['B', 'C', 'A', 'E', 'D']"
QUESTION 51,"Ancient shields or crystalline massifs are huge blocks of ancient rock. These shields are made up of crystalline rocks (magmatic-plutonic) formed in Precambrian times, or metamorphic rocks (sedimentary material) from the Paleozoic. They are resistant and stable, but quite weathered. They make up 36 percent of the country's land area and are divided into two large portions: the Guiana Shield (north of the Amazon Plain) and the Brazilian Shield (central-eastern Brazil). The geological structures indicated in the text are economically important for Brazil because they concentrate",hot springs.,deposits of metallic minerals.,fossil fuel reserves.,rock salt outcrops.,agricultural limestone deposits.,2020,51,CH,B,english,"['A', 'C', 'E', 'B', 'D']"
QUESTION 52,"In The Death of Ivan Ilyich, Tolstoy describes in repulsive detail the terror of facing imminent death. Ivan Ilyich falls ill after a minor accident and soon realizes that he is heading towards the end in a way that is impossible to stop. ""In the depths of his heart, he knew he was dying, but instead of getting used to the idea, he simply didn't and couldn't understand it."" The text describes Tolstoy's character's experience of an inescapable aspect of our lives. This aspect has been a central theme in the philosophical tradition",in the discussion of the fluidity of relationships.,"utilitarian, in the sense of the rationality of actions.",in the context of historical materialism.,"logicist, in order to understand the facts.","existentialist, on the question of self-recognition.",2020,52,CH,E,english,"['D', 'C', 'A', 'B', 'E']"
QUESTION 53,"To say that the cartography of the modern era was part of the process of invention of America by Europeans means that the Amerindians' knowledge of the territory was ignored by European cartography or that they were deprived of their territorial representation and the authority that their knowledge had over space. In the analysis contained in the text, the cartographic representation of America was marked by",improving the concept of the border.,affirmation of forms of domination.,the accuracy of the demarcation of the regions.,advances in environmental studies.,assertion of native culture.,2020,53,CH,B,english,"['E', 'C', 'D', 'B', 'A']"
QUESTION 54,"Democracy in America, Alexis Tocqueville The main characteristic of the Anglo-American social situation is its eminently democratic character. I said earlier that there was great equality among the emigrants who settled in New England. The influence of the laws of succession contributed to this. Established in one way, the laws of succession bring together, concentrate and group property and power into one. Established on other principles, they produce the opposite: they divide, share and disseminate property and power. The text discusses the role played by a rule in creating an environment conducive to",use of slave labor.,consolidation of bourgeois values.,containment of nationalist identification.,hierarchization of economic agents.,banning religious dissent.,2020,54,CH,B,english,"['A', 'B', 'D', 'E', 'C']"
QUESTION 55,"Politics, Aristotle We see that every city is a kind of community, and every community is formed with a view to some good, since all the actions of all men are carried out with a view to what seems to them to be a good; if all communities aim at some good, it is clear that the most important of them all, which includes all the others, has this goal more than any other and aims at the most important of all goods. In the fragment, Aristotle promotes a reflection that associates two essential elements to the discussion on community life, namely:","Rhetoric and language, because they deal with discourse in the agora.","Ethics and politics, because they lead to eudaimonia .","Metaphysics and ontology, because they deal with first philosophy.","Generation and corruption, because they encompass the field of physis .","Democracy and society, because they refer to social relations.",2020,55,CH,B,english,"['B', 'A', 'C', 'E', 'D']"
