question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTION 136,"Traffic jams are a problem that affects thousands of Brazilian drivers every day. The graph illustrates the situation by showing the variation in the speed of a vehicle during a traffic jam over a defined period of time. Graph description: Line graph with the horizontal axis defined by time (minute), from zero to ten, and the vertical axis defined by speed. The variation in speed is described in the following intervals: - from zero to one, the speed remains constant above zero; - from one to two, the speed increases, reaching its highest point; - from two to three, the speed decreases, remaining above the initial speed; - from three to four, the speed remains constant, above the initial speed; - from four to five, the speed increases, below the highest point; - from five to six, the speed decreases to zero; - from six to eight, the speed remains constant at zero; - and from eight to ten, the speed increases again, below the highest point. How many minutes did the vehicle remain stationary over the total time interval analyzed?",4,3,2,1,0,2017,136,MT,C,english
QUESTION 137,"A waiter needs to choose a tray with a rectangular base to serve four glasses of sparkling wine that need to be arranged on a single shelf, parallel to the long side of the tray, with their bases resting completely on the tray. The base and top edge of the glasses are circles of radius 4 centimeters and 5 centimeters respectively. The tray to be chosen must have a minimum area, in square centimeters, equal to",192.,300.,304.,320.,400.,2017,137,MT,C,english
QUESTION 138,"In one canteen, the bestsellers in the summer are juices made from fruit pulp. One of the best-selling juices is strawberry and acerola, which is made with two-thirds strawberry pulp and one-third acerola pulp. For the retailer, the pulps are sold in packages of equal volume. Currently, strawberry pulp costs R$18.00 and acerola pulp R$14.70. However, the price of acerola pulp is expected to rise next month to R$15.30. In order not to increase the price of the juice, the trader negotiated a reduction in the price of the strawberry pulp pack with the supplier. The reduction, in real terms, in the price of the packet of strawberry pulp should be","1,20.","0,90.","0,60.","0,40.","0,30.",2017,138,MT,E,english
QUESTÃO 139,"A couple is moving house and needs to put a cubic object with an edge of 80 centimeters into a cardboard box that cannot be dismantled. They have five boxes available, with different dimensions, as described: - Box 1: 86 centimetres by 86 centimetres by 86 centimetres - Box 2: 75 centimetres by 82 centimetres by 90 centimetres - Box 3: 85 centimetres by 82 centimetres by 90 centimetres - Box 4: 82 centimetres by 95 centimetres by 82 centimetres - Box 5: 80 centimetres by 95 centimetres by 85 centimetres The couple need to choose a box in which the object fits, so that there is the least amount of free space inside.",1.,2.,3.,4.,5.,2017,139,MT,C,english
QUESTION 140,"A company is going to build a website and hopes to attract an audience of approximately one million customers. To access this page, it will need a password with a format to be defined by the company. There are five format options offered by the programmer, described in the table, where ""L"" and ""D"" stand for capital letter and digit respectively. Description of the table: The table shows five options and a format for each of them. Option I: Format: LDDDDDD; Option II: Format: DDDDDD; Option III: Format: LLDDDDD; Option IV: Format: DDDDDD; Option V: Format: LLLDD. The letters of the alphabet, among the 26 possible, as well as the digits, among the 10 possible, can be repeated in any of the options. The company wants to choose a format option whose number of possible distinct passwords is greater than the expected number of customers, but whose number is no more than twice the expected number of customers. The option that best suits the company's conditions is",I.,II.,III.,IV.,V.,2017,140,MT,E,english
QUESTION 141,"Since they aren't into sports, a group of friends decided to have a soccer tournament using video games. They decided that each player would only play each of the other players once. The champion would be the one with the most points. They observed that the number of matches played depends on the number of players, as shown in the table: Description of the board: Table showing the relationship between the number of players and the number of matches, as follows:Number of players: 02; number of matches: 01.Number of players: 03; number of matches: 03.Number of players: 04; number of matches: 06.Number of players: 05; number of matches: 10.Number of players: 06; number of matches: 15.Number of players: 07; number of matches: 21. If the number of players is 8, how many matches will there be?",64,56,49,36,28,2017,141,MT,E,english
QUESTION 142,"A resident of a metropolitan area has a 50 percent probability of being late for work when it rains in the area; if it doesn't rain, their probability of being late is 25 percent. For a given day, the weather service estimates the probability of rain in the region at 30 percent. What is the probability that this resident will be late for work on the day for which the rainfall estimate was given?","0,075","0,150","0,325","0,600","0,800",2017,142,MT,C,english
QUESTION 143,"At 5:15 p.m. a heavy rain begins, falling with constant intensity. A pool in the shape of a rectangular parallelepiped, which was initially empty, begins to accumulate rainwater and, at 6 p.m., the water level inside it reaches 20 centimeters. At that moment, the damper is opened which allows the water to flow through a drain located at the bottom of the pool, whose flow rate is constant. At 6:40 p.m., the rain stops and, at that exact moment, the water level in the pool has dropped to 15 centimeters. The moment when the water in the pool has completely stopped draining is between",19 hours 30 minutes and 20 hours 10 minutes .,19 hours 20 minutes and 19 hours 30 minutes .,19 hours 10 minutes and 19 hours 20 minutes .,19 hours and 19 hours 10 minutes .,18 hours 40 minutes and 19 hours .,2017,143,MT,D,english
QUESTÃO 144,"A loan was taken out at a monthly rate of i percent, using compound interest, in eight ﬁxed installments equal to P . The borrower has the option of paying off the debt early at any time, by paying the current value of the installments still to be paid. After paying the fifth installment, he decides to pay off the debt when he pays the sixth installment. The expression that corresponds to the total amount paid to settle the loan is","P times, open bracket, 1; plus fraction with numerator 1, over denominator, open bracket, 1 plus fraction with numerator i over denominator 100, close bracket; plus fraction with numerator 1 over denominator, open bracket, 1 plus fraction with numerator i over denominator 100, close bracket, squared; close bracket.","P times, open bracket, 1; plus fraction with numerator 1, over denominator, open bracket, 1 plus fraction with numerator i over denominator 100, close bracket; plus fraction with numerator 1 over denominator, open bracket, 1 plus fraction with numerator 2i over denominator 100, close bracket; close bracket.","P times, open bracket, 1; plus fraction with numerator 1, over denominator, open bracket, 1 plus fraction with numerator i over denominator 100, close bracket, squared; plus fraction with numerator 1 over denominator, open bracket, 1 plus fraction with numerator i over denominator 100, close bracket, squared; close bracket.","P times, open bracket, fraction with numerator 1, over denominator, open bracket, 1 plus fraction with numerator i over denominator 100, close bracket; plus fraction with numerator 1 over denominator, open bracket 1 plus fraction with numerator 2i over denominator 100, close bracket; plus fraction with numerator 1, over denominator, open bracket, 1 plus fraction with numerator 3i over denominator 100, close bracket; close bracket.","P times, open bracket, fraction with numerator 1, over denominator, open bracket, 1 plus fraction with numerator i over denominator 100, close bracket; plus fraction with numerator 1 over denominator, open bracket, 1 plus fraction with numerator i over denominator 100, close bracket, raised to the square; plus fraction with numerator 1, over denominator, open bracket, 1 plus fraction with numerator i over denominator 100, close bracket, raised to the cube; close bracket.",2017,144,MT,A,english
QUESTION 145,"In order to take the trip of a lifetime, a person needed to take out a loan of R$5,000.00. To pay the installments, he has a maximum of R$400.00 per month. For this loan amount, the installment amount ( P ) is calculated as a function of the number of installments ( n ) according to the formula P is equal to the fraction: in the numerator 5 000 times open bracket 1.013 to the power of n close bracket times 0.013, in the denominator open bracket 1.013 to the power of n close bracket minus 1. If necessary, use 0.005 as an approximation for log 1.013; 2.602 as an approximation for log 400; 2.525 as an approximation for log 335. According to the formula given, the smallest number of installments whose values do not compromise the limit set by the person is",12.,14.,15.,16.,17.,2017,145,MT,D,english
