question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTION 46,"At the Second International Congress of Geographical Sciences in 1875, which was attended by the President of the Republic, the Governor of Paris and the President of the Assembly, Admiral La Roucière-Le Noury's inaugural speech set out the prevailing attitude at the meeting: ""Gentlemen, Providence has dictated to us the obligation to know and conquer the earth. This supreme order is one of the imperative duties inscribed in our intelligences and our activities. Geography, that science which inspires such beautiful devotion and in whose name so many victims have been sacrificed, has become the philosophy of the earth."" In the historical context presented, the exaltation of geographical science stems from its use for",cultural preservation of occupied territories.,humanitarian formation of European society.,cataloging data useful for colonialist purposes.,development of mathematical techniques for constructing charts.,consolidation of topographical knowledge as an academic field.,2018,46,CH,C,english
QUESTION 47,"The Knights of Christ The existence of a hospital in Jerusalem for the accommodation and care of pilgrims, as well as those among them who were tired or ill, strengthened the link between the work of assistance and charity and the Holy Land. By making the Jerusalem Hospital a central establishment of the order in 1113, Paschal II encouraged the affiliation of the hospitalaries of the West to it, especially those who were linked to pilgrimages in the Holy Land or elsewhere. The militarization of the Jerusalem Hospital did not diminish its original charitable vocation, but rather strengthened it. The event described is linked to the Western phenomenon of","the rise of warrior monasticism, brought about by the crusades.","decentralization of ecclesiastical power, produced by feudalism.","the spread of bubonic plague, caused by commercial expansion.","affirmation of the mendicant fraternity, stimulated by spiritual reform.","creation of medical schools, promoted by the urban renaissance.",2018,47,CH,A,english
QUESTION 48,"In the work Society against the State, Pierre Clastres writes: The tribe does not have a king, but a chief who is not the head of state. What does this mean? Simply that the chief has no authority, no power of coercion, no means of giving an order. The chief is not a commander, the people of the tribe have no duty of obedience. The space of the chief is not the place of power. Essentially in charge of eliminating conflicts that can arise between individuals, families and lineages, the chief only has the prestige that society recognizes in order to restore order and concord. But prestige obviously doesn't mean power, and the chief's means of carrying out his task as peacemaker are limited to the exclusive use of words. The political model of the societies discussed in the text contrasts with that of the liberal bourgeois state because it is based on:",Ideological imposition and hierarchical norms.,Divine determination and monarchical sovereignty.,Consensual intervention and community autonomy.,Legal mediation and contractual rules.,Collective management and tax obligations.,2018,48,CH,C,english
QUESTION 49,"In Praise of Philosophy, Merleau-Ponty writes: The philosopher recognizes himself by the inseparable possession of the taste for evidence and the sense of ambiguity. When he merely endures ambiguity, it is called equivocation. It has always been the case that even those who claimed to build an absolutely positive philosophy were only able to be philosophers insofar as they simultaneously refused the right to settle in absolute knowledge. What characterizes the philosopher is the movement that leads incessantly from knowledge to ignorance, from ignorance to knowledge, and a certain rest in this movement. The text presents an understanding of the constitutive elements of the philosopher's activity, which is characterized by",bringing together the antagonisms of opinion with the dialectical method.,adjusting the clarity of knowledge to the innatism of ideas.,associating the certainty of the intellect with the immutability of truth.,reconciling the rigor of research with the restlessness of questioning.,making thought structures compatible with fundamental principles.,2018,49,CH,D,english
QUESTION 50,"This bus is related to the act carried out in 1955 by Rosa Parks, shown in a photograph alongside Martin Luther King. The vehicle has achieved the status of a museum piece because it symbolizes the",impact of the fear of the arms race.,democratization of access to public schools.,gender bias in public transport.,outbreak of the movement for civil equality.,Rebellion breaks out in youth behavior.,2018,50,CH,D,english
QUESTION 51,"In the Summa Theologica, Thomas Aquinas writes: Provided we have understood the meaning of the word ""God"", we know at once that God exists. In fact, this word designates something of such a nature that we cannot conceive of anything greater than it. Now, what exists in reality and in thought is greater than what exists only in thought. Hence it follows that the object designated by the word ""God"", which exists in thought, as long as we understand that word, also exists in reality. Therefore, the existence of God is evident. The text presents a theoretical elaboration by Thomas Aquinas characterized by",to reiterate religious orthodoxy against heretics.,to rationally support doctrine based on faith.,explain the theological virtues by demonstration.,making the official interpretation of sacred texts more flexible.,pragm atically justifying dogma-free belief.,2018,51,CH,B,english
QUESTION 52,"TEXT I In Leviathan, Thomas Hobbes writes: All that is valid for a time of war, in which every man is the enemy of every man, is valid also for the time during which men live with no other security than that which can be offered to them by their own strength and invention. TEXT II In Discourse on the origin and foundation of inequality between men, Jean-Jacques Rousseau writes: Let us not conclude with Hobbes that, because man has no idea of goodness, he is naturally evil. This author should say that, since the state of nature is the one in which the care for our own conservation is least harmful to that of others, this state was therefore the most suitable for peace and the most convenient for the human race. The excerpts present conceptual divergences between authors who support an understanding according to which equality between men occurs because of a",predisposition to knowledge.,submission to the transcendent.,epistemological tradition.,original condition.,political vocation.,2018,52,CH,D,english
QUESTION 53,"Globalization as reterritorialization Gone are the days when it was possible to show an economic world organized in well-defined layers, where large urban centers linked themselves to adjacent ""slow"" economies, with the much faster pace of far-reaching trade and finance. Today, everything happens as if these overlapping layers were intermingled and interpermeated. Short- and long-range interdependencies can no longer be separated from each other. The greater complexity of contemporary urban spaces highlighted in the text is explained by",expansion of metropolitan areas.,emancipation of new municipalities.,consolidation of legal domains.,articulation of multi-scalar networks.,redefinition of administrative regions Description of Figure 1: Photograph of an old bus on display in a museum. Description of Figure 2: Photograph in which Rosa Parks stands next to Martin Luther King.,2018,53,CH,D,english
QUESTION 54,"TEXT I Demonology and colonization: 16th-18th centuries And since I cannot take revenge on the devil in any other way in this part, I warn everyone who reads this place, from the cross of Christ Jesus, to give this land the name that was so solemnly given to it, under penalty of the same cross that will be shown to us on the final day, accusing them of being more devoted to brazilwood than to it. TEXT II Everyday life and private life in Portuguese America And this is how the settlers are, who, no matter how rooted they are in the land and how rich they are, want to take everything to Portugal, and if the estates and goods they possess have taught them to speak, they have also taught them to speak like parrots, to whom the first thing they teach is: real parrot for Portugal, because they want everything there. These chroniclers' criticisms of the Portuguese colonization process in America were related to the",use of slave labor.,establishment of urban centers.,devastation of natural areas.,occupation of indigenous lands.,expropriation of local wealth.,2018,54,CH,E,english
QUESTION 55,"Cuba and the Russians The Soviets had arrived in Cuba very early in the 1960s, sneaking in through the gap opened by the immediate US hostility towards the social revolutionary process. For three decades the Soviets maintained their presence in Cuba with bases and military aid, but above all with all the economic support that, as we would learn years later, kept the country afloat, although it left us in debt to the Soviet brothers - and then to their Russian heirs - for figures that reached 32 billion dollars. In other words, what was offered in the name of socialist solidarity had a definite price. The text indicates that during the Cold War, internal relations within the same bloc were marked by",pursuit of political neutrality.,stimulating commercial competition.,subordination to the hegemonic power.,elasticity of geographical borders.,sharing scientific research.,2018,55,CH,C,english
QUESTION 56,"Geography of wealth, hunger and the environment Hunger is not a technical problem, as it is not due to a lack of food, because hunger today coexists with the material conditions to solve it. The text shows that the food problem presented has a political dimension because it is associated with",regional productivity scale.,pattern of income distribution.,difficulty in storing grains.,world population growth.,cost of disposing of products.,2018,56,CH,B,english
QUESTION 57,"The poet Emília Freitas took to the stage nervously, apologizing for not having any titles or knowledge, but proudly offering her pen, which ""without being skillful, is, on the other hand, guided by the power of the will"". Maria Tomásia pronounced prayers that lifted her listeners. The writer Francisca Clotilde captivated with her poems. These ""angelic ladies"", ""heroines of charity"", raised money to buy freedoms and used their enthusiasm to convince slave owners to grant them free freedoms. The cultural practices narrated refer historically to the movement",feminist.,suffragette.,socialist.,republicano.,abolitionist.,2018,57,CH,E,english
