question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTION 46,"In the African empire of Mali, in the 14th century, Tombuctu was the center of an international trade where everything was traded - salt, slaves, seafood, etc. There was also a large trade in books on history, medicine, astronomy and mathematics, as well as a high concentration of students. The cultural importance of Tombuctu can be seen in an old proverb: ""Salt comes from the north, gold from the south, but the words of God and the treasures of wisdom come from Tombuctu"". One explanation for the dynamism of this city and its historical importance in the period mentioned was the following",geographical isolation from the Western Sahara.,intensive exploitation of natural resources.,relative position in the circulation networks.,transatlantic slave labor trade.,economic competition from the kingdoms of the region.,2017,46,CH,C,english
QUESTION 47,"Following the UN's Universal Declaration of Human Rights in 1948, UNESCO published studies by scientists from all over the world that discredited racist doctrines and demonstrated the unity of the human race. Since then, most European scientists themselves have come to recognize the discriminatory nature of the white man's alleged racial superiority and to condemn the aberrations committed in his name. The position taken by UNESCO from 1948 onwards was motivated by recent events, among which the following stood out",Japanese attack on the American military base at Pearl Harbor.,the outbreak of the Cold War and new rivalries between nations.,death of millions of soldiers in the fighting of the Second World War.,execution of Jews and Slavs imprisoned in Nazi ghettos and concentration camps.,the dropping of atomic bombs on Hiroshima and Nagasaki by US forces.,2017,47,CH,D,english
QUESTION 48,"Morality, Bentham urged, is not a matter of pleasing God, much less of adherence to abstract rules. Morality is the attempt to create the greatest possible amount of happiness in this world. When deciding what to do, we should therefore ask what course of conduct would promote the greatest amount of happiness for all those who will be affected. The parameters of action indicated in the text are in line with a",scientific basis with a positivist bias.,normative social convention.,religious behavioral transgression.,pragmatic rationality.,passionate inclination.,2017,48,CH,D,english
QUESTION 49,"There's a lot of talk these days about human rights. Well, it was in the 18th century - in 1789 precisely - that a Constituent Assembly produced and proclaimed the Declaration of the Rights of Man and of the Citizen in Paris. This Declaration was necessary for a group of revolutionaries because it had been prepared by a change in ideas and mentalities: the Enlightenment. By correlating historical temporalities, the text presents a conception of thought that has as one of its foundations the",modernizing school education.,updating christian moral discipline.,spreading aristocratic customs.,socialization of scientific knowledge.,universalization of the principle of civil equality.,2017,49,CH,E,english
QUESTION 50,"The 1988 Constitution of the Federative Republic of Brazil states: Article 231. Indians are recognized for their social organization, customs, languages, beliefs and traditions, and for their original rights over the lands they traditionally occupy, and the Union is responsible for demarcating, protecting and ensuring respect for all their property. The persistence of claims regarding the application of this normative precept is due to the fundamental historical link between",ethnicity and racial miscegenation.,society and legal equality.,space and cultural survival.,progress and environmental education.,well-being and economic modernization.,2017,50,CH,C,english
QUESTION 51,"Photograph description: A black woman is seated, elegantly dressed, adorned with jewelry and wearing a shawl, with a white boy leaning against her right side, standing with his head and left hand delicately resting on her shoulder and his right hand holding her arm; both are posing for a photo. The caption reads: ""Photograph of Augusto Gomes Leal and nursemaid Mônica, business card from 1860"". The photo, dated 1860, is an indication of the slave culture in Brazil, as it expresses the","ambiguity of the domestic work carried out by the wet nurse, developing a relationship of proximity and subordination in relation to the masters.","integration of slaves into the values of the middle classes, cultivating the family as a pillar of imperial society.","an improvement in the slaves' living conditions as seen in their luxurious clothing, associating domestic work with privileges for the captives.","sphere of private life, centralizing the female figure to mark the work of women in the literate education of children.","ethnic distinction between masters and slaves, demarcating coexistence between social strata as a means of overcoming mestizaje.",2017,51,CH,A,english
QUESTION 52,"The conﬁguration of the urban space of the Entorno do Distrito Federal region is similar to other urban agglomerations and metropolitan regions in the country, where it is easy to identify a dynamic and developed center, where job opportunities and the main services are concentrated, and a peripheral region concentrating the low-income population, with restricted access to the main activities with the capacity for accumulation and productivity, and to social services and basic infrastructure. The internal organization of the urban agglomeration described is the result of the process of",vertical expansion.,national polarization.,municipal emancipation.,socio-spatial segregation.,commercial deregulation.,2017,52,CH,D,english
QUESTION 53,"Mexico, Colombia, Peru and Chile have decided to take a shorter route to regional integration. In mid-2012, the four countries created the Pacific Alliance and in 2013 eliminated tariffs on 90 percent of all products traded across their borders. The agreement described in the text had the following economic objectives for the member countries",promote the free movement of workers.,promoting competitiveness in the foreign market.,restrict investments by multinational companies.,adopt exchange rate measures to subsidize the agricultural sector.,reduce customs duties to encourage consumption.,2017,53,CH,B,english
QUESTION 54,"Table description: Indicates the typology of areas in relation to the percentage of rainfall retained on site and the percentage of rainfall run-off, presenting the following data: - Natural/forest basins: with 80 to 100 percent of rainfall retained on site and 0 to 20 percent of rainfall run-off; - Basins with agricultural/crop occupation: with 40 to 60 percent of rainfall retained on site and 40 to 60 percent of rainfall run-off; - Basins with residential occupation: with 40 to 50 percent of rainfall retained on site and 50 to 60 percent of rainfall run-off; - Basins with heavy urban occupation: with 0 to 10 percent of rainfall retained on site and 90 to 100 percent of rainfall run-off. Reading the data reveals that areas with greater vegetation cover have the potential to intensify the rainfall process.",laminar erosion.,physical weathering.,flooding in cities.,soil compaction.,recharge two aquifers.,2017,54,CH,E,english
QUESTION 55,"Accelerated wear and tear will always exist if the farmer does not take due care to combat the causes, which are related to various processes, such as: chemical depletion and leaching caused by the exhaustion caused by crops and the vertical washing away of nutrients from the water that enters the soil, as well as the removal of nutritious elements with crops. The nutrients removed, when not replaced, are often replaced by toxic elements such as aluminum. The environmental dynamics exemplified in the text generate the following consequences for arable soil:",Increased acidity.,Increase in salinity.,Formation of gullies.,Removal of the top layer.,Intensification of surface flow.,2017,55,CH,A,english
QUESTION 56,"The biggest consumers of logistics infrastructure for exports in Brazil are bulk products, including iron ore, oil and its derivatives and soybeans, which, because they have low added value and are moved in large volumes, require a large infrastructure and low costs. In the case of soybeans, the infrastructure leaves a lot to be desired, resulting in huge lines of ships, trucks and trains which, because they are idle in the lines for a large part of the time, have their costs increased, heavily burdening the exporter, affecting his profit margin and threatening our international competitiveness. In the context of the early 21st century, one way of solving the soybean logistics problems presented in the text would be to",exemption from transport taxes.,construction of mooring terminals.,diversification of trade partners.,hiring port workers.,intensiﬁcation of road policing.,2017,56,CH,B,english
QUESTION 57,"The diversity of activities related to the tertiary sector reinforces the more general trend towards deindustrialization in many developed countries, without them losing control of the economy. This change implies a new international division of labor, which is no longer based on the clear sectoral segmentation of economic activities. In this context, one of the results of the phenomenon described is the",saturation of the secondary sector.,expanding labor rights.,bipolarization of geopolitical power.,consolidation of technological mastery.,primarization of global exports.,2017,57,CH,D,english
QUESTION 58,"Many countries are characterized by having multi-ethnic populations. They have often evolved this way over centuries. Other societies have become multi-ethnic more quickly, as a result of policies encouraging migration, or because of colonial and imperial legacies. From the point of view of the functioning of contemporary democracies, the model of society described demands both,",defense of patriotism and rejection of hybridity.,universalization of rights and respect for diversity.,segregating the territory and encouraging self-government.,language compensation and homogenization policies.,standardization of culture and repression of particularisms.,2017,58,CH,B,english
QUESTION 59,"Climatogram description: Shows the annual variation in temperature and rainfall in a city, with the following data: - from January to the end of March: the temperature rose from approximately minus 10 degrees Celsius to 0 degrees Celsius, while rainfall fell from over 40 millimeters to just over 30 millimeters; - from the end of March to July: the temperature rose from 0 degrees Celsius to a peak of just under 20 degrees Celsius, while rainfall rose from over 30 millimeters to approximately 90 millimeters; and - from July onwards: the temperature began a process of falling until it reached 0 degrees Celsius in early November, dropping further in December to approximately minus 10 degrees Celsius, while rainfall fell from 90 millimeters to just over 50 millimeters in December. Map description: The world map indicates the cities of Moscow and Barcelona, in Europe; Mumbai, in Asia; Cape Town, in Africa; and Sydney, in Oceania. The average monthly temperatures and rainfall rates expressed in the climatogram show the typical climate of the following city:","Cape Town (South Africa), marked by a low annual temperature range.","Sydney (Australia), characterized by abundant rainfall throughout the year.","Mumbai (India), damaged by torrential monsoon rains.","Barcelona (Spain), affected by dry air masses.","Moscow (Russia), influenced by its geographical location in high altitude.",2017,59,CH,E,english
QUESTION 60,"In his book Development as Freedom, Amartya Sen writes: We seek to demonstrate that development can be seen as a process of expanding the real freedoms that people enjoy. The focus on human freedoms contrasts with narrower views of development, such as those that identify development with growth in Gross National Product, or industrialization. GNP growth can be very important as a means of expanding freedoms. But freedoms also depend on other determinants, such as education and health services and civil rights. The concept of development proposed in the text is based on the link between",increase in industry and operations in the financial market.,creation of welfare programs and price controls.,increase in average income and tax collection.,guaranteeing citizenship and economic advancement.,adjustment of economic policies and fiscal incentives.,2017,60,CH,D,english
QUESTION 61,"The first Gulf War, genuinely supported by the United Nations and the international community, as well as the immediate reaction to 9/11, demonstrated the strength of the United States' position in the post-Soviet era. One aspect that explains the strength of the United States, as pointed out in the text, is the following",power of its military bases around the world.,Russia's geopolitical alignment with the US.,Cuba's policy of territorial expansionism.,strategic alliance with oil-producing countries such as Kuwait and Iran.,China's incorporation into the North Atlantic Treaty Organization (NATO).,2017,61,CH,A,english
QUESTION 62,"The New Deal aims to re-establish the balance between production costs and prices, between town and country, between agricultural prices and industrial prices, to reactivate the internal market - the only important one - by controlling prices and production, by revaluing wages and the purchasing power of the masses, i.e. farmers and workers, and by regulating employment conditions. With reference to the historical conditions of the interwar period, the government measures described were aimed at",making the rules of the financial market more flexible.,strengthen the regressive taxation system.,introduce credit restraint measures.,rationalizing the costs of industrial automation through union negotiations.,recompose the mechanisms of economic accumulation through state intervention.,2017,62,CH,E,english
