question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTION 91,"Mega-spectacles with large numbers of fireworks being set off during the end-of-year celebrations are very common in Brazil. After burning, a large amount of particulate matter remains suspended in the air. Among the residues are compounds of sodium, potassium, barium, calcium, lead, antimony, chromium, as well as perchlorates and gases such as nitrogen dioxide and sulphur dioxide. These shows pose environmental risks because",the substances resulting from the burning of fireworks are flammable.,the waste produced by burning fireworks is still explosive.,sodium and potassium are mainly responsible for the toxicity of the burning product.,the products of burning contain heavy metals and toxic gases that result in atmospheric pollution.,"the particulate matter generated is deposited on the surface of plant leaves, preventing cellular respiration processes.",2020,91,CN,D,english
QUESTION 92,"There are many myths about how to protect yourself from lightning: covering mirrors and not picking up knives, forks and other metal objects, for example. But in fact, if there is a lightning storm, some precautions are important, such as avoiding open environments. A good shelter for protection is the inside of a car, as long as it's not a convertible. What is the physical reason for the protection provided by cars, as mentioned in the text?",Electrical insulation for tires.,Lightning rod effect of the antenna.,Shielding by the metal casing.,Water running down the bodywork.,Grounding by the battery ground wire.,2020,92,CN,C,english
QUESTION 93,"Coins have aroused the interest of collectors, numismatists and investors for a long time. A 100 percent copper coin circulating in colonial Brazil can be very valuable. The high value generates the need to carry out tests to validate the coin's origin, as well as the veracity of its composition. Knowing that the density of metallic copper is close to 9 grams per cubic centimeter, an investor negotiates the acquisition of a lot of four coins, A, B, C and D, supposedly made of 100 percent copper and weighing 26 grams, 27 grams, 10 grams and 36 grams, respectively. In order to test the density of the coins, a procedure was carried out in which they were sequentially inserted into a beaker containing 5 milliliters of water, as shown in the diagram. Description of the diagram: Diagram showing five cylinders (beakers) containing water and coins. From left to right. The first cylinder contains only water, for which the vertical axis of the graph indicates a volume of water equal to 5 milliliters. In the second cylinder, coin A is immersed in water, so that the vertical axis shows a total volume of 7 milliliters. In the third cylinder, coin A and coin B are immersed in water, giving a total volume of 10 milliliters on the vertical axis of the graph. In the fourth cylinder, three coins are immersed: A, B and C, giving a total volume of 12 milliliters. In the fifth cylinder there are four coins immersed in water: A, B, C and D, totaling 16 milliliters. Based on the data obtained, the investor purchased the coins",A and B.,A and C.,B and C.,B and D.,C and D.,2020,93,CN,D,english
QUESTION 94,"The different types of coffee we consume don't always come from the same species of plant. The two most commonly used coffee species are Coffea canephora and Coffea arabica . The former is diploid (2 times n equals 22) and the latter is tetraploid (2 times n equals 44). It is believed that the tetraploid species arose from a natural cross between C. canephora and C. eugenioides , both diploids, millions of years ago. In fact, current genetic analyses of C . arabica chromosomes detect alleles from both origins. The chromosomal alteration that could explain the emergence of coffee from the C . arabica species is:",Duplication in one of the parental plants before crossing.,Inversion during gametic meiosis in both parental plants.,Uneven separation in the gametic meiosis of one of the parental plants.,Failure to separate during gametic meiosis in both parental plants.,Deletions during the first zygotic mitoses in the descendant plant C . arabica .,2020,94,CN,anulada,english
QUESTION 95,"Refrigerator manuals recommend that the equipment should not be installed near heat sources, such as stoves and heaters, or in a place where there is direct sunlight. Installation in an unsuitable location impairs the operation of the refrigerator and increases energy consumption. Failure to comply with this recommendation results in increased energy consumption because",the heat flow by conduction in the condenser is considerably reduced.,the temperature of the refrigerant in the condenser decreases more quickly.,the heat flow causes a significant rise in temperature inside the refrigerator.,the liquefaction of the refrigerant in the condenser requires more work from the compressor.,convection currents in the vicinity of the condenser are more difficult to detect.,2020,95,CN,D,english
QUESTION 96,"During a soccer match, the players noticed that the ball was deflated. To calibrate the ball, one player used a manual pneumatic pump, consisting of a piston that slides inside a cylinder made of plastic. In the process of calibrating the ball, the player noticed that the end of the pump in contact with his hand, which is closest to the pump nozzle, became very hot. The significant heating noticed by the player is due to",successive friction between the piston and the internal walls of the pump.,heat transfer by conduction from the player's hands to the pump.,increase in the internal energy of the air contained in the pump with each compression.,turbulence promoted in the air portions confined above and below the piston.,expansion of the air at the outlet at the bottom of the pump with each compression stroke.,2020,96,CN,C,english
QUESTION 97,"The 324-meter-high Eiffel Tower, made of iron trusses, weighed 7,300 tons when it was finished being built in 1889. An architect decides to build a prototype of this tower on a scale of 1 to 100, using the same materials (each linear dimension on a scale of 1 to 100 as the real monument). Consider that the real tower has a mass M1 and exerts a pressure P1 on the foundation on which it was built. The model built by the architect will have a mass of M2 and will exert a pressure of P2. How does the pressure exerted by the tower compare with the pressure exerted by the prototype? In other words, what is the ratio between the pressures (P1 divided by P2)?",10 to the power of zero .,10 to the power of one .,10 to the power of two .,10 to the power of four .,10 to the power of six .,2020,97,CN,C,english
QUESTION 98,"An electric shower has been improperly installed, so that when it is turned on with the selector switch in the winter position, the water temperature is low. The shower is connected to a 50 amp circuit breaker and the measured current is around 30 amps. The power of the shower, as specified, is 4,400 watts at 110 volts. To heat the water to the maximum temperature, you can",decrease the length of the shower's electrical resistance.,replace the wire supplying the shower with a smaller diameter one.,install a resistor in series with the shower resistor.,connect the shower to a lower amperage circuit breaker.,changing its electrical resistance to one with greater resistivity.,2020,98,CN,A,english
QUESTION 99,"Green chemistry is a branch of chemistry that advocates the development of efficient processes that transform most of the reagent into product more quickly and selectively, that use few reagents, that produce only the desired product, avoiding the formation of co-products, and that use environmentally friendly solvents. In this way, industries can avoid problems related to environmental pollution and the waste of water and energy. The profile of a process that follows all the principles of this branch of chemistry can be represented by:",Reactants A plus B plus C form product D. The reaction takes place at high pressures.,Reactants A plus B form products C plus D. The reaction is strongly endothermic.,Reactants A plus 3 B form product C. The reaction takes place using an organic solvent.,"The reactants 3 A plus 2 B form the product 2 C, which is transformed into the products 3 D plus 2 E. The reaction takes place under atmospheric pressure.",Reactants A plus 0.5 B form product C. The reaction takes place using a catalyst containing a non-toxic metal.,2020,99,CN,E,english
QUESTION 100,"The tuning fork is a fork-shaped metal instrument used to tune musical instruments. To do this, the tuning fork is made to vibrate and the sound of a certain pitch emitted by it is compared with the sound emitted by the instrument. The adjustment takes place until the instrument emits a sound with the same characteristics as the tuning fork. Which sound characteristic should be adjusted?",Amplitude.,Frequency.,Intensity.,Bell.,Propagation speed.,2020,100,CN,B,english
QUESTION 101,"Artificial satellites in orbit around the Earth have electrical circuits that need electricity to function. The energy demand is not great, but somehow the satellite's circuitry has to be powered. Considering energy availability, economic issues and the risks of using a certain energy source, the best alternative for powering the satellite's electrical circuits is from",solar cells.,alkaline batteries.,biofuels.,fossil fuels.,thermonuclear reactors.,2020,101,CN,A,english
QUESTION 102,"If an astronaut, inside a space station in orbit around the Earth, tries to measure his weight on a conventional scale, it will not give any value. The scientific interpretation of this is that the Earth's gravitational acceleration","tends to zero, due to the great distance from the Earth.",does not exist outside the Earth's atmosphere due to the absence of air.,"is canceled out by the acceleration of lunar gravity, due to the Moon's proximity.","maintains the same orbital motion for the astronaut and the scale, due to the equal action on both.","does not act on bodies in a vacuum, due to the fact that such a medium does not allow the existence of forces.",2020,102,CN,D,english
QUESTION 103,"Two engineers are checking whether a cavity drilled into the ground is in accordance with the plans for a construction project, whose required depth is 30 meters. The test is carried out using a device called a variable frequency audio oscillator, which makes it possible to relate the depth to the frequency values of two consecutive resonances, just like in a closed sound tube. The lowest resonance frequency measured by the device was 135 hertz. Consider that the speed of sound inside the perforated cavity is 360 meters per second. If the depth is as designed, what is the value of the next resonance frequency to be measured?",137 hertz.,138 hertz.,141 hertz.,144 hertz.,159 hertz.,2020,103,CN,C,english
QUESTION 104,"Academic and research institutions around the world are inserting genes into plant genomes that could encode products of pharmacological interest. In Brazil, a variety of soybean is being developed with a viricide or microbicide capable of preventing contamination by the virus that causes AIDS. This legume is being induced to produce the enzyme cyanovirin-N, which is proven to be effective against the virus. The technique for generating this legume is an example of",hybridism.,transgenia.,conjugation.,gene therapy.,genetic improvement.,2020,104,CN,B,english
QUESTION 105,"Researchers collected water samples from a river at different points a few kilometers apart. Along the river, there are places with clean water, as well as places that receive sewage from urban areas, and places where there is active decomposition with no fish. The researchers analyzed two parameters: dissolved oxygen (DO) and biochemical oxygen demand (BOD) at each water sampling point, obtaining the following graph: Graph description: The graph shows the sampling points on the x-axis and the DO and BOD parameters (milligrams per liter) on the y-axis. Sampling point 1 has DO equal to 4 and BOD equal to 13. Sampling point 2 has an OD of 2 and a BOD of 7. Sampling point 3 has DO equal to 0.9 and BOD equal to 1.8. Sampling point 4 has DO equal to 3 and BOD equal to 4. Sampling point 5 has DO equal to 6 and BOD equal to 4. Limit values allowed for fresh water intended for human consumption after conventional treatment, according to Conama Resolution 357/2005: DO greater than or equal to 5 milligrams per liter and BOD less than or equal to 5 milligrams per liter.  DO comes from the atmosphere and from photosynthesis in the watercourse and its concentration is a function of local physical, chemical and biochemical variables. BOD is the amount of oxygen consumed by microorganisms under aerobic conditions to degrade a given amount of organic matter, over a period of time, at a specific incubation temperature.  Which river water sampling point is closest to the place where the river receives sewage?",1,2,3,4,5,2020,105,CN,A,english
