question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTION 91,"A common occurrence when cooking rice is that some of the cooking water spills over the blue flame of the fire, changing it to a yellow flame. This change in color can give rise to various interpretations related to the substances present in the cooking water. In addition to table salt (NaCl), it contains carbohydrates, proteins and mineral salts. Scientifically, it is known that this change in flame color occurs due to","cooking gas reacts with salt, volatilizing chlorine gas.","emission of photons by the sodium, excited by the flame.",production of a yellow derivative by reaction with the carbohydrate.,cooking gas reacts with water to form hydrogen gas.,"excitation of protein molecules, with the formation of yellow light.",2017,91,CN,B,english
QUESTION 92,"The biological classification proposed by Whittaker makes it possible to distinguish five major evolutionary lines using cellular organization and mode of nutrition as classification criteria. Woese and his collaborators, based on a comparison of the sequences that encode the ribosomal RNA of living beings, established ancestral relationships between the groups and concluded that the prokaryotes of the Monera kingdom were not a cohesive group from an evolutionary point of view. Description of the chart: The board shows two columns. - The first column shows the Whittaker Classification, from 1969, with five kingdoms: Monera, Protista, Fungi, Plantae and Animalia. - The second column shows the Woese Classification, from 1990, with three domains: Archaea, Eubacteria and Eukarya. The Monera kingdom corresponds to the Archaea and Eubacteria domains. The Protista, Fungi, Plantae and Animalia kingdoms correspond to the Eukarya domain. The basic difference in these classiﬁcations is that the most recent one is fundamentally based on",cell types.,ecological aspects.,ﬁlogenetic relationships.,physiological properties.,morphological characteristics.,2017,92,CN,C,english
QUESTION 93,"In a frontal collision between two cars, the force exerted by the seat belt on the driver's chest and abdomen can cause serious injuries to internal organs. With the safety of its product in mind, a car manufacturer carried out tests on five different seat belt models. The tests simulated a collision lasting 0.30 seconds, and the dummies representing the occupants were equipped with accelerometers. This equipment records the deceleration modulus of the dummy, which varies from zero to a maximum value and back to zero over the time interval considered. Parameters such as dummy mass, belt dimensions and speed immediately before and after impact were the same for all tests. The final result obtained is shown in the acceleration by time graph. Description of the graph: The horizontal axis shows the time, in seconds, from 0.00 to 0.30 (with a range of 0.05 to 0.05). The vertical axis shows the acceleration, in meters per second squared, from 0 to 200 (every 40 seconds).  - Belt 1: Maximum acceleration of 150 between the time interval of 0.00 and 0.15. - Belt 2: Maximum acceleration of 60 between the time interval of 0.04 and 0.27. - Belt 3: Maximum acceleration of 190 between the time interval of 0.12 to 0.20. - Belt 4: Maximum acceleration of 85 between the time interval of 0.05 to 0.30. - Belt 5: Maximum acceleration of 170 between the time interval of 0.20 and 0.30. Which belt model offers the least risk of internal injury to the driver?",1,2,3,4,5,2017,93,CN,B,english
QUESTION 94,"Accelerated clotting Researchers have created a type of artificial platelet, made of a gelatinous polymer covered in antibodies, which promises to speed up the clotting process when injected into the body. If there is bleeding, these antibodies cause the platelet to change its shape and become a kind of net that sticks to lesions in blood vessels and the skin.Which disease would patients improve their state of health with the use of this material?",Filariose.,Hemoﬁlia.,Atherosclerosis.,Chagas disease.,Acquired immune deficiency syndrome.,2017,94,CN,B,english
QUESTION 95,"Golden linseed flour is a natural product that offers great benefits for our bodies. Most of the flaxseed's nutrients are found in its oil, which is rich in fat-soluble substances with high molecular masses. The flour also contains high levels of water-insoluble protein fibers, cellulose, fat-soluble vitamins and water-soluble mineral salts. Consider the diagram, which summarizes a process for separating the main components of golden linseed flour. Description of the diagram: - Linseed meal is subjected to the addition of ethyl ether, followed by stirring and ﬁltration leading to residue 1 and the ether extract (organic phase). - Residue 1 is subjected to the addition of water, followed by stirring and ﬁltration to obtain residue 2 and the aqueous extract. - The aqueous extract is distilled, resulting in distillate 2 and residue 3. - The ethereal extract (organic phase) is subjected to distillation, resulting in distillate 1 and residue 4. Linseed oil will be obtained in the fraction",Distillate 1.,Distillate 2.,Waste 2.,Waste 3.,Waste 4.,2017,95,CN,E,english
QUESTION 96,"Cars with alcohol-powered engines, when unregulated, can produce excessive amounts of carbon monoxide, a highly toxic pollutant, in the combustion chamber. This is because ethanol and other organic fuels can react in various ways with oxygen, depending on the physical-chemical conditions of the system. The chemical equations show two possible ethanol combustion reactions. Description of the chemical equations: The reactants C 2H6O + 7 media of O2 form the products 2 CO2 + 3 H2O. The reactants C2H6O + 5 O2 form the products 2 CO + 3 H2O. This deregulation has caused, in relation to the normal operation of the engine, a",excess air intake.,increased ethanol to oxygen ratio.,deactivation of the mandatory catalytic converter.,increased pressure in the combustion chamber.,lower temperature in the combustion chamber.,2017,96,CN,B,english
QUESTION 97,"Centrifuges are equipment used in laboratories, clinics and industries. Its operation makes use of the centrifugal acceleration obtained by the rotation of a container and is used to separate solids suspended in liquids or liquids mixed together.",of the different densities.,of the different rotation radii.,different angular velocities.,of the different quantities of each substance.,the different molecular cohesion of each substance.,2017,97,CN,A,english
QUESTION 98,"In order to explain one of the properties of the plasma membrane, a mouse cell was fused with a human cell, forming a hybrid cell. Then, in order to mark the membrane proteins, two antibodies were inserted into the experiment, one specific for mouse membrane proteins and the other for human membrane proteins. The antibodies were visualized under the microscope using fluorescence of different colors, as shown in the experiment . Description of the experiment: - Step 1: Selection of a mouse cell and a human cell. The membrane protein of each cell is represented by different shapes. - Step 2: Cell fusion of these two cells results in a hybrid cell with the shape of the mouse cell membrane protein on the left and the shape of the human cell membrane protein on the right. Antibodies against mouse membrane proteins and antibodies against human membrane proteins were inserted. These antibodies were labeled with fluorescein and rhodamine, respectively. - Step 3: At zero time, it can be seen that the fluorescein-labeled antibodies have coupled to the mouse cell membrane proteins on the left, and the rhodamine-labeled antibodies have coupled to the human cell membrane proteins on the right. - Stage 4: At 40 minutes after incubation at 37 degrees Celsius, it can be seen that the coupled antibodies have redistributed themselves in an intercalated manner. The change observed from stage 3 to stage 4 of the experiment occurs because the proteins",move freely in the plane of the lipid bilayer.,remain contained in certain regions of the bilayer.,help to dislodge phospholipids from the plasma membrane.,are mobilized due to the insertion of antibodies.,are blocked by antibodies.,2017,98,CN,A,english
QUESTION 99,"Thinking about the high number of accidents on the roads at night, the automobile industry has invested in a new safety system consisting of a night vision device. The device is able to detect pedestrians and animals because it is sensitive to the temperature of the bodies in front of it. From this, an on-board computer converts the data into images, which are shown to the driver. The reddish colors refer to the bodies closest to the car, while the bluish colors refer to the bodies furthest away. The safety system picks up the signal from the electromagnetic spectrum emitted by the aforementioned bodies, whose frequency is in the range of",X-rays.,visible light.,ultraviolet.,microwave.,infrared.,2017,99,CN,E,english
QUESTÃO 100,"Environmental factors affecting wet precipitation Microscopic particles in the atmosphere act as condensation nuclei for water vapor which, under suitable temperature and pressure conditions, lead to the formation of clouds and consequently rain. In atmospheric air, these particles are formed by the reaction of acids (H X ) with the base NH 3, either naturally or anthropogenically, giving rise to ammonium salts (NH4 X ), according to the generic chemical equation: Description of the generic chemical equation: The reactants H X (gaseous) + NH 3 (gaseous) form the product NH4 X (solid). The ﬁxation of water vapor molecules by the condensation nuclei occurs by",ionic bonds.,dipole-dipole interactions.,induced dipole-dipole interactions.,ion-dipole interactions.,covalent bonds.,2017,100,CN,D,english
QUESTÃO 101,"Radar is a device used by traffic officers in cities or on highways, with the intention of limiting speed and thus reducing traffic accidents. Some devices work by emitting sound or electromagnetic waves, which hit the moving vehicle and return to the device. Which physical phenomenon is associated with the operation of this type of radar?",Diffraction.,Refraction.,Resonance.,Doppler effect.,Photoelectric effect.,2017,101,CN,D,english
QUESTÃO 102,"The carbon-14 test The carbon-14 technique allows fossils to be dated by measuring the beta emission values of this isotope present in the fossil. For a living being, the maximum is 15 beta emissions per, open parenthesis, minute multiplied by gram, close parenthesis . After death, the amount of carbon fourteen is halved every 5,730 years. Consider that a fossil fragment with a mass equal to 30 grams was found in an archaeological site, and the radiation measurement showed 6,750 beta emissions per hour. The age of this fossil, in years, is",450.,1 433.,11 460.,17 190.,27 000.,2017,102,CN,C,english
QUESTÃO 103,"The figure shows the operation of a hybrid electricity generation station powered by wind energy and biogas. This station enables the energy generated in the wind farm to be stored in the form of hydrogen gas, which is used to supply energy to the common electricity grid and to fuel fuel cells. Image description: - Wind turbines can generate electricity for the electricity distribution grid or for the production of hydrogen. - In this process, the hydrogen is stored and can be used as fuel or mixed with the stored biogas (via a mixing valve). - This mixture goes to a mixed energy generation plant and can generate electricity for the electricity distribution network, or heat for the thermal energy destination.  Even in the absence of wind for short periods, this station continues to supply the town where it is installed, because the",mixed power generation plant performs electrolysis to send energy to the electricity distribution network.,The hydrogen produced and stored is used in combustion with biogas to generate heat and electricity.,"The turbine assembly continues to rotate at the same speed due to inertia, maintaining the previous efficiency.",combustion of the biogas-hydrogen mixture directly generates additional electrical energy for the station's maintenance.,mixed power generation plant is able to use all the heat provided in combustion to generate electricity.,2017,103,CN,B,english
QUESTÃO 104,"Chemical process industries Electrolysis is a non-spontaneous process of great importance to the chemical industry. One of its applications is to obtain chlorine gas and sodium hydroxide from an aqueous solution of sodium chloride. In this procedure, an electrochemical cell is used, as illustrated. Figure description: - The figure shows an electrochemical cell made up of two semi-cells separated by an asbestos diaphragm. - The semicell on the left contains a carbon anode (the positive pole of the electrochemical cell) which is connected to the positive pole of a battery. - This semi-cell is fed with an aqueous solution of NaCl, and gaseous Cl 2 is released through a hole in its upper part. - The semi-cell on the right contains a carbon cathode (the negative pole of the electrochemical cell) which is connected to the negative pole of the battery. - At the bottom right, there is a drain for the aqueous alkaline solution and, at the top, a hole showing the release of a secondary product. - The flow of electrons occurs from the anode to the cathode, passing through the battery and closing the electrical circuit. In the electrolytic process illustrated, the secondary product obtained is",water vapor.,molecular oxygen.,sodium hypochlorite.,molecular hydrogen.,hydrogen chloride.,2017,104,CN,D,english
QUESTÃO 105,"Natural/organic agriculture as a tool for biological fixation and maintenance of nitrogen in the soil: a sustainable CDM model A major turning point in the modern history of agriculture came after the Second World War. After the war, governments were faced with a huge surplus of ammonium nitrate, an ingredient used in the manufacture of explosives. From then on, munitions factories were adapted to start producing fertilizers with nitrates as the main component. In the natural nitrogen cycle, the equivalent of the main component of these industrial fertilizers is produced in the nitrogen production stage.",nitration.,nitrosation.,amoniﬁcation.,denitriﬁcation.,biological oxidation of N 2.,2017,105,CN,A,english
QUESTÃO 106,"The toxicity of some substances is usually represented by an index known as the LD50 (median lethal dose). It represents the dosage applied to a population of living beings that kills 50 percent of these individuals and is usually measured using rats as guinea pigs. This index is very important for humans, because by extrapolating the data obtained using guinea pigs, the tolerable level of contamination of food can be determined, so that it can be consumed safely by people. The table shows three pesticides and their toxicities. The unit milligrams per kilogram indicates the mass of the substance ingested by the mass of the guinea pig. Description of the table: The table shows two columns: in the first column, the names of the pesticides and, in the second column, their respective lethal dose values, LD 50, in milligrams per kilogram. - Diazinon: 70. - Malathion: 1,000. - Atrazine: 3 100. Sixty rats, each weighing 200 grams, were divided into three groups of twenty.  Three samples of feed, each contaminated with one of the pesticides listed in the table, at a concentration of 3 milligrams per gram of feed, were administered to each group of rats. Each rat consumed 100 grams of feed. Which group(s) will have a minimum mortality of 10 rats?",The group that was contaminated only with atrazine.,The group that was contaminated only with diazinon.,The groups that were contaminated with atrazine and malathion.,The groups that were contaminated with diazinon and malathion.,"None of the groups contaminated with atrazine, diazinon and malathion.",2017,106,CN,D,english
QUESTÃO 107,Medicines are routinely used by human beings in order to reduce or often cure possible health problems. Antibiotics are a group of drugs used in the treatment of diseases caused by bacteria.,activating the host's immune system.,interfering in the biochemical cascade of inflammation.,removing toxins synthesized by bacteria.,fighting the bacteria's host cells.,damaging specific structures of the bacterial cell.,2017,107,CN,E,english
QUESTÃO 108,"Electronic devices using low-cost materials, such as semiconducting polymers, have been developed to monitor the concentration of ammonia (a toxic, colorless gas) in poultry farms. Polyaniline is a semiconducting polymer whose nominal electrical resistance increases fourfold when exposed to high concentrations of ammonia. In the absence of ammonia, polyaniline behaves like an ohmic resistor and its electrical response is shown in the graph. Graph description: Graph of the electric current (vertical axis, in 10 to the minus six amperes) as a function of the potential difference (horizontal axis, in volts).  The graph is made up of an upward sloping straight line, starting from the origin of the axes, with the following points: - Potential difference 0.5 and current 1.0. - Potential difference 1.0 and current 2.0. - Potential difference 1.5 and current 3.0. - Potential difference 2.0 and current 4.0. - Potential difference 2.5 and current 5.0. - Potential difference 3.0 and current 6.0. The value of the electrical resistance of polyaniline in the presence of high concentrations of ammonia, in ohm, is equal to","0.5 times, opens parenthesis, 10 to the power of 0, closes parenthesis .","2.0 times, open parenthesis, 10 to the power of 0, close parenthesis .","2.5 times, open parenthesis, 10 to the power of 5, close parenthesis .","5.0 times, open parenthesis, 10 to the power of 5, close parenthesis .","2.0 times, open parenthesis, 10 to the power of 6, close parenthesis .",2017,108,CN,E,english
QUESTÃO 109,"Carbon nanotubes increase photosynthesis in plants Researchers have managed to stimulate the absorption of light energy in plants thanks to the use of carbon nanotubes. To do this, carbon nanotubes ""inserted"" themselves into chloroplasts by spontaneously assembling themselves through the chloroplast membranes. The plant's pigments absorb light radiation, the electrons are ""excited"" and move inside the chloroplast membranes, and the plant then uses this electrical energy to make sugars. Carbon nanotubes can absorb wavelengths not normally used by chloroplasts, and the researchers came up with the idea of using them as ""antennas"", stimulating the conversion of solar energy by chloroplasts by increasing electron transport. The increase in photosynthetic efficiency was due to the fact that the carbon nanotubes directly promote the",water use.,photon absorption.,formation of oxygen gas.,chloroplast proliferation.,cation of carbon dioxide.,2017,109,CN,B,english
