question,body,A,B,C,D,E,year,question_number,test,answer,language,answer_order
QUESTION 46,"Pure hospitality consists of welcoming those who arrive before imposing conditions, before knowing and asking anything, even if it's a name or an identity document. But it also means addressing them in a unique way, calling them by their first name and recognizing them: ""What's your name?"" Hospitality consists of doing everything you can to address the other person, to grant them permission, even to ask their name, preventing this question from becoming a ""condition"", a police inquiry, a file or a simple border control.  An art and a poetics, but also a whole politics depend on it, a whole ethic is decided there. Associated with the contemporary migratory context, the concept of hospitality proposed by the author imposes the need for",crystallization of biography.,incorporation of otherness.,verification of provenance.,annulment of the difference.,suppression of communication.,2019,46,CH,B,english,"['B', 'C', 'E', 'A', 'D']"
QUESTION 47,"In a general and fundamental sense, Law is the technique of human coexistence, that is, the technique aimed at making it possible for men to coexist. As a technique, Law is concretized in a set of rules (which, in this case, are laws or norms); and these rules have intersubjective behavior as their object, that is, the reciprocal behavior of men among themselves. The general and fundamental meaning of Law, as has been pointed out, refers to the",representation of the constituted authority.,application of legal codes.,mediation of economic conflicts.,legitimizing political decisions.,regulating social interaction.,2019,47,CH,E,english,"['E', 'A', 'D', 'C', 'B']"
QUESTION 48,"The processing of manioc was an activity already carried out by the natives who lived in Brazil before the arrival of the Portuguese and Africans. However, throughout the process of Portuguese colonization, the production of flour was perfected and expanded, becoming commonplace throughout the territory of the Portuguese colony in America. With the consolidation of Atlantic trade in its various connections, flour crossed the seas and reached African markets. Considering the formation of the Atlantic space, this product historically exemplifies the",diversification of religious offerings.,appropriation of warrior customs.,dissemination of festive rituals.,spread of eating habits.,expanding indigenous knowledge.,2019,48,CH,D,english,"['E', 'D', 'B', 'A', 'C']"
QUESTION 49,"Brazil, Germany, Japan and India call for Security Council reform In September 2018, the representatives of the G4 (Brazil, Germany, India and Japan) reiterated their call for the expansion of the United Nations Security Council during a meeting in New York (United States). In a ten-item joint statement, the foreign ministers stressed that the body as it stands, with only five permanent and ten rotating members, does not reflect the 21st century. ""Security Council reform is essential to meet today's complex challenges. As aspirants for new permanent members of a reformed council, the ministers reiterated their commitment to working to strengthen the functioning of the UN and the global multilateral order, as well as their support for their respective candidacies,"" says the joint statement. The countries mentioned in the text justify their claim on the basis of the following common characteristic:",Extent of territorial area.,Development of nuclear energy.,Availability of mineral resources.,Protagonism on a regional scale.,Investment in military technology.,2019,49,CH,D,english,"['A', 'D', 'E', 'B', 'C']"
QUESTION 50,"It was now a question of building a new rhythm. To do so, it was necessary to summon all the living forces of the nation, all the men who, with the will to work and confidence in the future, could build a new era. And to the great call that summoned the people to the gigantic task, the workers began to arrive from all corners of the immense homeland: the simple, quiet men, with feet made of roots, faces made of leather and hands made of stone, and on their heels, in ox carts, on donkey backs, on sticks, in every way possible and imaginable, in their hope-filled silence, often leaving behind wives and children to await their promises of better days; they arrived from so many villages, so many towns whose names seemed to sing nostalgia in their ears, within the ancient rhythms of the immense homeland... Land of sun, land of light... Brazil! Brazil! Brasília! (Vinicius de Moraes and Antônio Carlos Jobim) In the text, the narrative produced about the construction of Brasilia articulates the political and socio-economic elements indicated in, respectively:",Territorial security and financial stability.,Trade union organization and the expansion of capital.,Democratic perspective and transport efficiency.,Party consensus and road modernization.,Symbolic appeal and interregional migration.,2019,50,CH,E,english,"['C', 'B', 'E', 'D', 'A']"
QUESTION 51,"Greeted by hundreds of social movement activists from forty countries, Pope Francis closed the Second World Meeting of Popular Movements in Santa Cruz de La Sierra, Bolivia, on July 9, 2015. According to him, the ""globalization of hope, which is born of the peoples and grows among the poor, must replace this globalization of exclusion and indifference"". The text criticizes the following aspects of the globalized world:",Human mobility.,Economic disparity.,Political freedom.,Commercial complementarity.,Cultural connectivity.,2019,51,CH,B,english,"['B', 'D', 'A', 'E', 'C']"
QUESTION 52,"The Universal Declaration of Human Rights, adopted and proclaimed by the UN General Assembly in Resolution 217-A of December 10, 1948, was a major historical event. By affirming, for the first time on a global scale, the role of human rights in collective coexistence, it can be considered the inaugural event of a new conception of international life. The declaration mentioned in the text introduced a new concept in international relations by making it possible to",reduction of warmongering truculence.,overcoming state sovereignty.,impunity for criminal acts.,defense of vulnerable groups.,inhibiting civilizational clashes.,2019,52,CH,D,english,"['C', 'A', 'D', 'B', 'E']"
QUESTION 53,"Image description: On one wall there are two photos showing people belonging to indigenous communities. The photos are framed with arabesques drawn around each of them. In the center, between the framed photos, next to an engraving of the bust of a woman speaking, is written: ""NUESTRA CULTURA NO CABE EN SUS MUSEOS"". Translation of the text in Spanish: ""Our culture doesn't fit in your museums"". Produced in Chile at the end of the 1970s, the image expresses a conflict between cultures and their presence in museums as a result of the",expanding the network of memory institutions.,fragmentation of the territories of the communities represented.,bureaucratization of access to exhibition spaces.,appreciation of the art market.,defining the criteria for creating collections.,2019,53,CH,E,english,"['C', 'E', 'D', 'A', 'B']"
QUESTION 54,"Image description: A globe on which all the countries and continents have been grouped into a single block, thus forming a supercontinent surrounded by water. The political division of the world as shown in the image would be possible if the planet were marked by the stability of the",atmospheric pressure.,geological structure.,erosive process.,hydrological cycle.,pluviometric index.,2019,54,CH,B,english,"['E', 'C', 'B', 'A', 'D']"
QUESTION 55,"The medieval city is first and foremost a society of abundance, concentrated in a small space in the midst of vast, sparsely populated regions. Next, it is a place of production and exchange, where crafts and commerce come together, supported by a monetary economy. It is also the center of a particular value system, from which emerges the laborious and creative practice of work, a taste for business and money, a penchant for luxury and a sense of beauty. It is also a system for organizing an enclosed space with walls, where you enter through gates and walk through streets and squares, and which is guarded by towers. In the text, the space described is characterized by the association between the expansion of urban activities and the",permanence of the protective architectural elements.,independence of rural food production.,acceptance of the usury practices of the religious.,overcoming the corporative order of the trades.,emancipation from the hegemonic power of royalty.,2019,55,CH,A,english,"['E', 'C', 'B', 'D', 'A']"
QUESTION 56,"TEXT I Listen to the sound of the river, my son Let that sound lull you The leaves that fall in the river, my son They end up in the waters of the sea When tomorrow happens to lack A joy in your heart Remember the sound of those waters from there Make that river your prayer. TEXT II Ecotourism is not only about bathing in waterfalls, sitting and walking along the beach, horseback riding, but also about getting to know biodiversity, which is sometimes supposedly endangered. Watching whales, swimming with dolphins, touching coral, meeting dozens of alligators in their natural habitat are all symbols that fascinate ecotourists. Nature is transformed into a spectacle different from modern urban life. The texts respectively identify the following attitudes towards nature:",Exploitation and romanticization.,Idealization and commodification.,Preservation and degradation.,Sacralization and desecration.,Segregation and democratization.,2019,56,CH,B,english,"['A', 'E', 'C', 'B', 'D']"
QUESTION 57,"Most of the aggressions and discriminatory manifestations against religions of African origin take place in public places (57 percent). More than two thirds of the attacks took place in the street, generally in places close to the houses of worship of these religions. Public transport is also mentioned as a place where adherents of religions of African origin are discriminated against, usually when they are dressed up because of their religious precepts. The practices described in the text are incompatible with the dynamics of a secular and democratic society because",restrict freedom of belief.,encourage syncretic rituals.,ensure multicultural expressions.,promote ethnic diversity.,distort theological dogmas.,2019,57,CH,A,english,"['E', 'D', 'A', 'B', 'C']"
QUESTION 58,"TEXT I Economic centralization, protectionism and overseas expansion aggrandized the state, although they benefited the incipient bourgeoisie. TEXT II The interference of legislation and exclusivist practices restricted the beneficial operation of natural law in the sphere of economic relations. Between the 16th and 19th centuries, different conceptions of the relationship between the state and the economy were formulated. These conceptions, associated with each of the texts, clash, respectively, in the opposition between the practices of",elimination of customs tariffs - encouraging free trade.,defense of royal monopolies - support for free competition.,formation of the metropolitan system - criticism of free navigation.,abandoning metal accumulation - encouraging free trade.,valuing the colonial pact - fighting free enterprise.,2019,58,CH,B,english,"['E', 'B', 'C', 'D', 'A']"
QUESTION 59,"Legend has it that on a beautiful sunny day, Newton was relaxing under an apple tree. Birds were twittering in his ears. There was a gentle breeze.  He dozed for a few minutes. Suddenly, an apple fell on his head and he woke up with a start. He looked up. ""Surely a bird or a squirrel knocked the apple out of the tree,"" he assumed. But there were no birds or squirrels in the tree nearby.  He then thought: ""Just a few minutes before, the apple was hanging from the tree. No external force caused it to fall. There must be some underlying force that causes things to fall to earth."" As opposed to an idealized interpretation, the text points to the following fundamental dimension of modern science:",Falsification of theses.,Proposing hypotheses.,Universalization of conclusions.,Denial of observation.,Contemplation of nature.,2019,59,CH,B,english,"['A', 'C', 'E', 'B', 'D']"
QUESTION 60,"Hardly a night goes by without some farmer having his barn or pile of grain destroyed by fire. Several workers not directly involved in the attacks seemed to support them, as can be seen in this statement to The Times: ""let it burn, pity it wasn't the house""; ""we can get warm now""; ""we just wanted some potatoes, there's a great fire to cook them on"". The revolt described in the text, which took place in England in the 19th century, was a reaction to the following socio-spatial process:",Imposition of land nationalization.,Restriction of private property.,Reducing monoculture production.,Prohibition of craft activities.,Expropriation of communal lands.,2019,60,CH,E,english,"['C', 'A', 'D', 'E', 'B']"
QUESTION 61,"Among the combatants was the most famous heroine of Independence. Born in Feira de Santana, the daughter of poor farmers, Maria Quitéria de Jesus was thirty years old when Bahia took up arms against the Portuguese. Despite the ban on women in volunteer battalions, she decided to enlist on the sly. She cut her hair, tied up her breasts, dressed as a man and joined the Brazilian ranks under the name Soldado Medeiros. In the process of Brazilian Independence, the case mentioned is emblematic because it shows the",hierarchical rigidity of the social structure.,public support for Portuguese immigrants.,metropolitan receptivity to emancipatory ideals.,administrative flexibility of the imperial government.,the inclusion of women in the military trades.,2019,61,CH,A,english,"['A', 'C', 'E', 'D', 'B']"
QUESTION 62,"The global restructuring of industry, conditioned by the global management strategies of the value chain of the large transnational groups, promoted a strong shift in the production process, even of entire industrial plants, and redirected production and investment flows. However, the increase in the share of developing countries in global output was quite asymmetrical when comparing the dynamism of East Asian countries with that of other countries, especially Latin American countries, in the period 1980-2000. The dynamics of the transformation of the geography of industries described exposes the complementarity between spatial dispersion and",profit sharing.,technological autonomy.,political decentralization.,supply crises.,economic concentration.,2019,62,CH,E,english,"['E', 'A', 'C', 'B', 'D']"
